claim_id,location,claim_type,claim,value_paper,digits,needs_block
fig2_mean_trump_dna_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Donald Trump claimed his DNA was USA misinformation,36,0,TRUE
fig2_mean_trump_dna_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Donald Trump claimed his DNA was USA fact-check,27,0,TRUE
fig2_mean_obama_judges_control,Figure 2,pipeline,Figure 2 conditional mean: Obama failed to nominate US judges control,46,0,TRUE
fig2_mean_obama_judges_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Obama failed to nominate US judges misinformation,54,0,TRUE
fig2_mean_obama_judges_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Obama failed to nominate US judges fact-check,36,0,TRUE
fig2_mean_barrett_homophobic_control,Figure 2,pipeline,Figure 2 conditional mean: Judge Barrett made homophobic and racist statements control,43,0,TRUE
fig2_mean_barrett_homophobic_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Judge Barrett made homophobic and racist statements misinformation,43,0,TRUE
fig2_mean_barrett_homophobic_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Judge Barrett made homophobic and racist statements fact-check,28,0,TRUE
fig2_mean_barrett_looks_control,Figure 2,pipeline,Figure 2 conditional mean: Trump chose Judge Barrett on basis of looks control,36,0,TRUE
fig2_mean_barrett_looks_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Trump chose Judge Barrett on basis of looks misinformation,45,0,TRUE
fig2_mean_barrett_looks_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Trump chose Judge Barrett on basis of looks fact-check,25,0,TRUE
fig2_mean_who_control,Figure 2,pipeline,Figure 2 conditional mean: WHO children to be vaccinated without parents consent control,40,0,TRUE
fig2_mean_who_misinformation,Figure 2,pipeline,Figure 2 conditional mean: WHO children to be vaccinated without parents consent misinformation,34,0,TRUE
fig2_mean_who_factcheck,Figure 2,pipeline,Figure 2 conditional mean: WHO children to be vaccinated without parents consent fact-check,26,0,TRUE
fig2_mean_hunter_laptop_control,Figure 2,pipeline,Figure 2 conditional mean: Hunter Bidens laptop had photos torturing children control,25,0,TRUE
fig2_mean_hunter_laptop_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Hunter Bidens laptop had photos torturing children misinformation,28,0,TRUE
fig2_mean_hunter_laptop_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Hunter Bidens laptop had photos torturing children fact-check,24,0,TRUE
fig2_mean_kamala_control,Figure 2,pipeline,Figure 2 conditional mean: Kamala Harris imprisoned prolife activists control,47,0,TRUE
fig2_mean_kamala_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Kamala Harris imprisoned prolife activists misinformation,60,0,TRUE
fig2_mean_kamala_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Kamala Harris imprisoned prolife activists fact-check,47,0,TRUE
fig2_mean_seal_team_control,Figure 2,pipeline,Figure 2 conditional mean: Biden and Obama plotted to have Seal Team 6 murdered control,30,0,TRUE
fig2_mean_seal_team_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Biden and Obama plotted to have Seal Team 6 murdered misinformation,37,0,TRUE
fig2_mean_seal_team_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Biden and Obama plotted to have Seal Team 6 murdered fact-check,28,0,TRUE
fig2_mean_biden_400k_control,Figure 2,pipeline,Figure 2 conditional mean: Joe Biden has never made more than $400k control,39,0,TRUE
fig2_mean_biden_400k_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Joe Biden has never made more than $400k misinformation,50,0,TRUE
fig2_mean_biden_400k_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Joe Biden has never made more than $400k fact-check,33,0,TRUE
fig2_mean_election_night_control,Figure 2,pipeline,Figure 2 conditional mean: Presidential winner must be announced election night control,44,0,TRUE
fig2_mean_election_night_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Presidential winner must be announced election night misinformation,42,0,TRUE
fig2_mean_election_night_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Presidential winner must be announced election night fact-check,35,0,TRUE
fig2_mean_coons_control,Figure 2,pipeline,Figure 2 conditional mean: Sen Coons daughters photo on Hunter Bidens laptop control,48,0,TRUE
fig2_mean_coons_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Sen Coons daughters photo on Hunter Bidens laptop misinformation,39,0,TRUE
fig2_mean_coons_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Sen Coons daughters photo on Hunter Bidens laptop fact-check,39,0,TRUE
fig2_mean_trump_good_control,Figure 2,pipeline,Figure 2 conditional mean: Trump said Good to childrens separation control,57,0,TRUE
fig2_mean_trump_good_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Trump said Good to childrens separation misinformation,53,0,TRUE
fig2_mean_trump_good_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Trump said Good to childrens separation fact-check,31,0,TRUE
fig2_mean_wisconsin_control,Figure 2,pipeline,Figure 2 conditional mean: Wisconsin has more votes than registered voters control,42,0,TRUE
fig2_mean_wisconsin_misinformation,Figure 2,pipeline,Figure 2 conditional mean: Wisconsin has more votes than registered voters misinformation,50,0,TRUE
fig2_mean_wisconsin_factcheck,Figure 2,pipeline,Figure 2 conditional mean: Wisconsin has more votes than registered voters fact-check,38,0,TRUE
fig2_mean_gop_pens_control,Figure 2,pipeline,Figure 2 conditional mean: GOP voters pens invisible to voting machines control,42,0,TRUE
fig2_mean_gop_pens_misinformation,Figure 2,pipeline,Figure 2 conditional mean: GOP voters pens invisible to voting machines misinformation,55,0,TRUE
fig2_mean_gop_pens_factcheck,Figure 2,pipeline,Figure 2 conditional mean: GOP voters pens invisible to voting machines fact-check,44,0,TRUE
fig2_mean_usps_control,Figure 2,pipeline,Figure 2 conditional mean: USPS fails to deliver 27% of mail ballots in South FL control,46,0,TRUE
fig2_mean_usps_misinformation,Figure 2,pipeline,Figure 2 conditional mean: USPS fails to deliver 27% of mail ballots in South FL misinformation,51,0,TRUE
fig2_mean_usps_factcheck,Figure 2,pipeline,Figure 2 conditional mean: USPS fails to deliver 27% of mail ballots in South FL fact-check,36,0,TRUE
fig3_cells,Figure 3,structural,Conditional effect estimates plotted in Figure 3,96,0,TRUE
fig4_cells,Figure 4,structural,Meta-analytic estimates plotted in Figure 4,30,0,TRUE
fig4_three_wave_flat,Figure 4,descriptive,"In the All Subjects panel for issues across three waves, the Wave 1 and Wave 2 estimates are identical",1,0,TRUE
fig5_grp_openness_low_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Openness low tercile misinformation effect,3.3,1,TRUE
fig5_grp_openness_high_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Openness high tercile misinformation effect,5.9,1,TRUE
fig5_grp_openness_low_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Openness low tercile correction effect,-6.6,1,TRUE
fig5_grp_openness_high_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Openness high tercile correction effect,-13.3,1,TRUE
fig5_grp_conscientiousness_low_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Conscientiousness low tercile misinformation effect,3,0,TRUE
fig5_grp_conscientiousness_high_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Conscientiousness high tercile misinformation effect,4.9,1,TRUE
fig5_grp_conscientiousness_low_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Conscientiousness low tercile correction effect,-8,0,TRUE
fig5_grp_conscientiousness_high_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Conscientiousness high tercile correction effect,-13,0,TRUE
fig5_grp_agree_low_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Agreeableness low tercile misinformation effect,4,0,TRUE
fig5_grp_agree_high_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Agreeableness high tercile misinformation effect,5.2,1,TRUE
fig5_grp_agree_low_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Agreeableness low tercile correction effect,-8.1,1,TRUE
fig5_grp_agree_high_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Agreeableness high tercile correction effect,-13.4,1,TRUE
fig5_grp_extraversion_low_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Extraversion low tercile misinformation effect,3.6,1,TRUE
fig5_grp_extraversion_high_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Extraversion high tercile misinformation effect,3.8,1,TRUE
fig5_grp_extraversion_low_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Extraversion low tercile correction effect,-13.4,1,TRUE
fig5_grp_extraversion_high_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Extraversion high tercile correction effect,-7.9,1,TRUE
fig5_grp_emotstab_low_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Emotional Stability low tercile misinformation effect,3.3,1,TRUE
fig5_grp_emotstab_high_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Emotional Stability high tercile misinformation effect,5.6,1,TRUE
fig5_grp_emotstab_low_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Emotional Stability low tercile correction effect,-8.1,1,TRUE
fig5_grp_emotstab_high_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Emotional Stability high tercile correction effect,-13.2,1,TRUE
fig5_grp_nfc_low_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Need for Cognition low tercile misinformation effect,4.5,1,TRUE
fig5_grp_nfc_high_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Need for Cognition high tercile misinformation effect,4.3,1,TRUE
fig5_grp_nfc_low_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Need for Cognition low tercile correction effect,-9,0,TRUE
fig5_grp_nfc_high_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Need for Cognition high tercile correction effect,-14.3,1,TRUE
fig5_grp_crt_low_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Cognitive Reflection Test low tercile misinformation effect,4.2,1,TRUE
fig5_grp_crt_high_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Cognitive Reflection Test high tercile misinformation effect,4.6,1,TRUE
fig5_grp_crt_low_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Cognitive Reflection Test low tercile correction effect,-8.8,1,TRUE
fig5_grp_crt_high_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Cognitive Reflection Test high tercile correction effect,-13.4,1,TRUE
fig5_grp_pk_low_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Political knowledge low tercile misinformation effect,4.1,1,TRUE
fig5_grp_pk_high_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Political knowledge high tercile misinformation effect,4.3,1,TRUE
fig5_grp_pk_low_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Political knowledge low tercile correction effect,-8,0,TRUE
fig5_grp_pk_high_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Political knowledge high tercile correction effect,-10.7,1,TRUE
fig5_grp_polint_low_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Political interest low tercile misinformation effect,4.5,1,TRUE
fig5_grp_polint_high_treatmentcontrol,Figure 5,pipeline,Figure 5 label: Political interest high tercile misinformation effect,4.3,1,TRUE
fig5_grp_polint_low_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Political interest low tercile correction effect,-12.3,1,TRUE
fig5_grp_polint_high_treatmentfactcheck,Figure 5,pipeline,Figure 5 label: Political interest high tercile correction effect,-8.9,1,TRUE
fig6_overall_treatmentcontrol,Figure 6,pipeline,Figure 6 label: Overall misinformation effect on the claim's target,-0.19,2,TRUE
