topic_short,panel_factor,lucid_pid_3,ctrl_estimate,ctrl_std.error,ctrl_p.value,ctrl_conf.low,ctrl_conf.high,chk_estimate,chk_std.error,chk_p.value,chk_conf.low,chk_conf.high,covariates
Trump said 'Good' to children's separation,Panel 6 (MTurk),Democrat,6.7072649572649645,4.252298047255896,0.11551473906701956,-1.652507747997026,15.067037662526957,-36.36004273504273,4.108000309846163,2.8802964463204735e-17,-44.436134411076914,-28.28395105900855,no
Trump said 'Good' to children's separation,Panel 6 (MTurk),Democrat,5.7112478907281234,4.195804154286448,0.1742589643529645,-2.538514993347685,13.961010774803931,-34.17637464992533,4.126359304870669,2.057979049540219e-15,-42.28959552199725,-26.063153777853408,yes
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),Democrat,0.2073509485094819,2.807326431524827,0.9411391729259636,-5.302991816468292,5.717693713487255,-8.203010670731729,2.2374458608769268,2.6190237262618826e-4,-12.5947669955621,-3.8112543459013577,no
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),Democrat,-0.22043082282817036,2.6716902285670914,0.9342646523158964,-5.4646933145460865,5.023831668889746,-8.161118930307492,2.093566314515586,1.0494224419637604e-4,-12.270581614170617,-4.0516562464443675,yes
Joe Biden has never made more than $400k,Panel 5 (Lucid),Democrat,17.192277250113072,2.9669115936709245,9.741372715355317e-9,11.36868338491658,23.015871115309565,-24.078345560333855,3.0505956258351787,9.387638839829862e-15,-30.066198386722945,-18.090492733944764,no
Joe Biden has never made more than $400k,Panel 5 (Lucid),Democrat,18.022257731532928,3.03666351255547,4.361043926000029e-9,12.061577889709252,23.982937573356605,-24.33947316876173,3.0419678333227687,4.2684065795448976e-15,-30.310564884585105,-18.368381452938362,yes
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),Democrat,18.08923615469364,2.855921919446578,3.9450930821000136e-10,12.483417208190422,23.695055101196857,-16.672553656625066,3.1031698890132815,1.0123341884510317e-7,-22.763689566047937,-10.581417747202195,no
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),Democrat,17.810337412446525,2.784094360121124,2.6913454878804457e-10,12.345344661163011,23.27533016373004,-16.00095849476263,3.043685874729242,1.879246395231693e-7,-21.975512188357868,-10.026404801167397,yes
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),Democrat,3.471904596904599,1.8377703303769264,0.05907686676374835,-0.13324408321585812,7.0770532770250565,-4.21375388403588,1.9212017912433728,0.02845402080770364,-7.982569816832846,-0.4449379512389138,no
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),Democrat,3.0587217216418736,1.5980991338760249,0.05583397948551498,-0.07629743080630869,6.1937408740900555,-4.17371670351809,1.6524292903178424,0.01165659392526482,-7.415316278538366,-0.9321171284978136,yes
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),Democrat,9.661509265893365,2.292117096120494,2.6603775265361456e-5,5.165064052028678,14.15795447975805,-23.63852340219953,2.196496641336255,5.524569843198809e-26,-27.947390007192155,-19.32965679720691,no
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),Democrat,10.68762327998468,2.0895639756851887,3.5931856634322797e-7,6.588483486188577,14.786763073780786,-23.47722509081788,2.00313958184902,2.7708684639693984e-30,-27.406824408203168,-19.54762577343259,yes
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),Democrat,-8.38218641842702,2.159074560175237,1.0841129473364284e-4,-12.61764763277232,-4.1467252040817195,-8.758020216103134,2.091712688215752,3.0074045354722087e-5,-12.861337501159149,-4.654702931047119,no
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),Democrat,-8.733346682496213,1.9933870441508976,1.271821654725711e-5,-12.643819440862902,-4.822873924129524,-8.924385932839163,1.9062013881851565,3.130538421517024e-6,-12.663824604486589,-5.184947261191738,yes
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),Democrat,-0.20070422535210017,3.0794975279437753,0.9480497115810294,-6.2445635465436595,5.8431550958394585,-8.445821454406195,2.84902124386335,0.00311234752902762,-14.037345215912088,-2.8542976929003023,no
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),Democrat,0.0677824012150074,2.969648838864902,0.9817949899200216,-5.760629561842882,5.896194364272897,-7.995005014934025,2.7763474912415926,0.00407717785978155,-13.444032091732584,-2.545977938135464,yes
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),Democrat,3.646111222044754,2.909068217258886,0.2103996764486076,-2.063227214056488,9.355449658145996,-20.702828242339987,2.992855637298927,8.71701999284664e-12,-26.576607902218072,-14.829048582461905,no
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),Democrat,3.1009683725190653,2.753645190093976,0.26041486353103965,-2.3034681950314004,8.505404940069532,-19.66256881554561,2.862791879257327,1.2232604320424208e-11,-25.28122192786499,-14.04391570322623,yes
Obama failed to nominate US judges,Panel 3 (Lucid),Democrat,2.3018620939773715,2.8431562399450554,0.41837568501927136,-3.2781341671182993,7.881858355073042,-11.99564723474792,2.7843535021587624,1.826958630612948e-5,-17.460236874012622,-6.531057595483221,no
Obama failed to nominate US judges,Panel 3 (Lucid),Democrat,2.492094183030211,2.819881351478999,0.37706713446937423,-3.0423578292731164,8.026546195333538,-11.797759012295558,2.7340406136709854,1.7752551098679538e-5,-17.163735338964102,-6.431782685627013,yes
Biden wears wire at debate,Panel 2 (MTurk),Democrat,0.255597127252395,2.6872926320757777,0.9242444000728568,-5.0179393663950815,5.529133620899872,-6.8411359976577595,2.842359938135521,0.01627562162844399,-12.418976193744218,-1.2632958015713005,no
Biden wears wire at debate,Panel 2 (MTurk),Democrat,0.0208228183840113,2.410982520155418,0.9931108283016868,-4.710581296493142,4.752226933261165,-8.511731361751382,2.399122545500876,4.071824826391086e-4,-13.219861009719825,-3.80360171378294,yes
Trump holds Bible upside down,Panel 2 (MTurk),Democrat,8.87928718501813,2.4713214561111077,3.433410502952211e-4,4.029559634813272,13.72901473522299,-28.007441412924138,2.660636346515825,1.2889496470134492e-24,-33.22868098856357,-22.786201837284697,no
Trump holds Bible upside down,Panel 2 (MTurk),Democrat,8.363556132120744,2.480508231654913,7.769027449072459e-4,3.495699278979581,13.231412985261906,-27.710921204994904,2.5789095763983494,1.6572599147227769e-25,-32.7718851215414,-22.649957288448405,yes
Trump responsible for all Covid deaths,Panel 2 (MTurk),Democrat,5.90805487349204,3.095419516760467,0.05660169481418398,-0.16640430815483587,11.982514055138918,-18.469470244237968,3.1928838201132415,9.790002898972487e-9,-24.735193624219963,-12.203746864255972,no
Trump responsible for all Covid deaths,Panel 2 (MTurk),Democrat,3.9708282813493057,2.944804085263605,0.17784251588450398,-1.808182876394272,9.749839439092884,-15.741563176666668,2.9047313655756493,7.572627521784437e-8,-21.441933892638005,-10.041192460695331,yes
A black man invented the light bulb,Panel 1 (MTurk),Democrat,8.228233271918397,3.038927627832769,0.00690760997560365,2.263887663020867,14.192578880815926,-9.477267148658887,3.0390674515446263,0.00187667843488279,-15.44188718230224,-3.5126471150155387,no
A black man invented the light bulb,Panel 1 (MTurk),Democrat,7.230965232094613,2.627664544112372,0.00604917558902784,2.073654305202719,12.388276158986509,-7.617721506433152,2.6187259225683466,0.00371898575434116,-12.757488622162526,-2.4779543907037764,yes
Antifa start West Coast wildfires,Panel 1 (MTurk),Democrat,1.495156236678334,3.0807274437295846,0.6275653018503762,-4.551218356872971,7.54153083022964,-2.6254686142733177,3.1537744505831578,0.4053598076272299,-8.815208557223958,3.564271328677323,no
Antifa start West Coast wildfires,Panel 1 (MTurk),Democrat,2.077396656143917,2.367832457761148,0.3805436146934599,-2.569935005093418,6.724728317381253,-3.003777622004941,2.416409420561683,0.2141751713156725,-7.746451019305448,1.7388957752955665,yes
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),Democrat,4.322606601287414,3.249248690019749,0.1837484753450737,-2.054515388992016,10.699728591566844,-10.598191681736006,3.240707110660499,0.00111565931053714,-16.958549583218264,-4.237833780253749,no
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),Democrat,4.1059495342990715,2.636473296168662,0.11974767845121016,-1.0686420138193815,9.280541082417525,-7.014567579776575,2.6511747068667235,0.00829607727760196,-12.218013505314348,-1.8111216542388016,yes
A black man invented the light bulb,Panel 1 (Lucid),Democrat,13.293372120717212,3.1127375730408327,2.155609994205089e-5,7.184330326192711,19.402413915241713,-6.558287073750961,3.1280433760744564,0.03630581674617565,-12.697367953883257,-0.4192061936186669,no
A black man invented the light bulb,Panel 1 (Lucid),Democrat,13.587954538480316,2.830728664874079,1.8599181327430045e-6,8.03224738879495,19.14366168816568,-6.6421005822933505,2.8942987455734404,0.02197208121752858,-12.322573046376393,-0.961628118210311,yes
Antifa start West Coast wildfires,Panel 1 (Lucid),Democrat,6.037531506439381,2.6372996684006234,0.0222928037092775,0.8615815521341039,11.213481460744656,-8.688223663959462,2.657668466918784,0.00111962439130361,-13.90414931121406,-3.472298016704866,no
Antifa start West Coast wildfires,Panel 1 (Lucid),Democrat,4.042061187662705,2.3575726357040767,0.08678602740334716,-0.5850100362994688,8.66913241162488,-9.304757062662564,2.441629938138159,1.4803121640018024e-4,-14.096802684175156,-4.512711441149975,yes
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),Democrat,3.6722363825167377,3.065298464730315,0.23122920006226577,-2.3436749413023295,9.688147706335805,-9.38592106633344,3.064137919788342,0.00225493567339514,-15.39955472109726,-3.372287411569621,no
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),Democrat,2.7485078801065828,2.8087459260955803,0.3280666052618899,-2.76402963264102,8.261045392854186,-7.671200555555671,2.77370360787714,0.00579786741214306,-13.11496285730321,-2.227438253808131,yes
Meta-analysis,Meta-analysis,Democrat,5.153491069831983,1.329002049394199,1.0544217029674085e-4,2.548694917639432,7.758287222024533,-12.79048295452058,1.6677241791604551,1.7277115442018104e-14,-16.059162281821695,-9.521803627219466,no
Meta-analysis,Meta-analysis,Democrat,4.656405873919132,1.296873436599357,3.30062002334169e-4,2.114580645677704,7.198231102160561,-12.113989534241844,1.6031596677761384,4.146289062062732e-14,-15.256124744550272,-8.971854323933416,yes
