topic_short,panel_factor,ctrl_estimate,ctrl_std.error,ctrl_p.value,ctrl_conf.low,ctrl_conf.high,chk_estimate,chk_std.error,chk_p.value,chk_conf.low,chk_conf.high,covariates
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),14.22670555619924,1.8206266036957168,9.124752081027712e-15,10.656047842698564,17.797363269699915,-14.24867137923886,1.9406578106624253,3.111740578506785e-13,-18.054737250648728,-10.442605507828995,yes
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),2.761076214907306,1.661199700007576,0.096618052550044,-0.4963861590536762,6.018538588868287,-4.337600906530697,1.6822765023793127,0.00998206654649248,-7.6363929837712,-1.0388088292901934,no
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),3.0889741062362894,1.3632572236984823,0.0235442827251402,0.41574118816479144,5.762207024307788,-3.717156687704247,1.3851718585257478,0.00733299624831771,-6.433362364099979,-1.0009510113085145,yes
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),9.533220793486736,1.7651586067630276,7.258017406535918e-8,6.071906398842675,12.994535188130795,-20.80083501472365,1.696955291139699,1.363251141953826e-33,-24.128408952716963,-17.473261076730328,no
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),9.490381912893438,1.5835522959710695,2.3565107299648828e-9,6.385170673160042,12.595593152626837,-20.83506848153016,1.524544932174783,4.661458817594666e-41,-23.82457130433697,-17.845565658723345,yes
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),-6.18623043623053,1.677113957156979,2.302724932740632e-4,-9.474901761656438,-2.8975591108046217,-7.308441045185753,1.757385229569107,3.308242067205299e-5,-10.75451719734432,-3.862364893027187,no
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),-5.621076341023913,1.5238947420709683,2.3029789118904435e-4,-8.60930827359458,-2.6328444084532445,-7.870867622979521,1.5208632967132152,2.4576106138895714e-7,-10.8531551411692,-4.888580104789842,yes
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),-2.472162510502038,1.9985804139111727,0.21624375648701064,-6.3916199962887,1.4472949752846245,-8.630042513566304,1.904379535569645,6.188208169256742e-6,-12.36476070379426,-4.8953243233383485,no
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),-1.8127371746022705,1.9209914537989676,0.34546225458609814,-5.580051915963039,1.954577566758498,-8.369780751632964,1.7957077536828585,3.3508142813892533e-6,-11.891397819864451,-4.848163683401475,yes
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),0.43282651256792126,1.9619197078036428,0.825415121744641,-3.414734902394058,4.2803879275299,-15.462121108621629,1.9443616800518224,2.9962863353455253e-15,-19.275249111333338,-11.64899310590992,no
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),0.44011945516808726,1.729575266306458,0.7991606727100908,-2.951803181532608,3.8320420918687823,-14.666090896932824,1.751458833254221,1.0253609120100207e-16,-18.100930062071388,-11.231251731794265,yes
Obama failed to nominate US judges,Panel 3 (Lucid),8.223176981727146,1.9517003200376817,2.624605766605267e-5,4.395669064686524,12.050684898767768,-17.672105315028148,1.96650400853785,5.617239863704392e-19,-21.528644961148316,-13.81556566890798,no
Obama failed to nominate US judges,Panel 3 (Lucid),7.692427122671209,1.7870527309611115,1.752372511838841e-5,4.187794895859671,11.197059349482746,-15.947067370719862,1.801668168943792,1.8317831454828367e-18,-19.48036228558511,-12.413772455854616,yes
Biden wears wire at debate,Panel 2 (MTurk),-0.7752190620232213,2.053982840161119,0.7058995748479289,-4.803375863609295,3.252937739562853,-4.704501132892201,2.143000658313946,0.02825693820763744,-8.907234723847427,-0.5017675419369745,no
Biden wears wire at debate,Panel 2 (MTurk),1.6077088353381197,1.7232918773309462,0.35096955962562126,-1.771931582558987,4.987349253235226,-7.0979221924556155,1.719349661235516,3.805728950216004e-5,-10.46983131826723,-3.726013066644001,yes
Trump holds Bible upside down,Panel 2 (MTurk),5.078787432728685,1.7892827535798732,0.00457896003543182,1.569740437918718,8.587834427538652,-21.156119167329905,1.9715106734135213,3.681056417101478e-26,-25.02254195038987,-17.28969638426994,no
Trump holds Bible upside down,Panel 2 (MTurk),5.454899380587201,1.7164445874128025,0.00150559693468183,2.088682416982806,8.821116344191596,-21.152960016749965,1.812352348825846,1.7124976594319435e-30,-24.70726713821756,-17.59865289528237,yes
Trump responsible for all Covid deaths,Panel 2 (MTurk),3.043420739883673,2.2391173723107545,0.17423424635202106,-1.347818191254385,7.434659671021731,-9.288298626660662,2.2815373966616272,4.861391094337629e-5,-13.762729472922464,-4.81386778039886,no
Trump responsible for all Covid deaths,Panel 2 (MTurk),2.0317342831120864,2.008175124651738,0.31178938569260833,-1.906612005526529,5.970080571750701,-9.539671988054948,1.9523216689866436,1.1095149798786929e-6,-13.36848089266466,-5.710863083445233,yes
A black man invented the light bulb,Panel 1 (MTurk),5.897018224379364,2.123620649540965,0.00553890030185672,1.7323163256886067,10.06172012307012,-5.154272319326876,2.134150108597662,0.01581695149348191,-9.339623884489416,-0.9689207541643352,no
A black man invented the light bulb,Panel 1 (MTurk),4.944750163292342,1.6283406629989443,0.00242265172119487,1.7513429218472454,8.13815740473744,-4.0356072305111415,1.6259503891390148,0.01314570119326244,-7.224326805531893,-0.8468876554903897,yes
Antifa start West Coast wildfires,Panel 1 (MTurk),3.4815228556754056,2.1913759288455137,0.11227521289417798,-0.8160573992355009,7.779103110586313,-1.9594961981224213,2.2141022481395294,0.3762576174123985,-6.30164579404832,2.3826533978034776,no
Antifa start West Coast wildfires,Panel 1 (MTurk),3.524065004936963,1.5645057680828551,0.02439732140866628,0.45584614044294947,6.592283869430977,-4.690362206172821,1.5459428056511657,0.00244434307047464,-7.722176454796612,-1.6585479575490307,yes
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),1.5769674073125153,2.0823069442250244,0.4489474988924549,-2.506711634564171,5.660646449189201,-3.8654405301237063,2.140174245482631,0.0710453882849198,-8.062604995468353,0.3317239352209409,no
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),2.8715487757813944,1.6625824678201415,0.08429179495404447,-0.3890105347054753,6.132108086268264,-3.916573584157329,1.6439368804658523,0.01729075730703624,-7.140566261334733,-0.6925809069799245,yes
A black man invented the light bulb,Panel 1 (Lucid),8.590218058450194,2.0347915646160923,2.5318295133231988e-5,4.599724123797581,12.580711993102806,-2.6836302272048043,2.055771343069973,0.19190003406855133,-6.715268267291313,1.348007812881704,no
A black man invented the light bulb,Panel 1 (Lucid),9.52120550692633,1.8331541813751968,2.2668173302786058e-7,5.926132017848327,13.116278996004333,-4.488525061956734,1.855772724673694,0.01566484381023469,-8.127956699520093,-0.8490934243933759,yes
Antifa start West Coast wildfires,Panel 1 (Lucid),8.545916442048512,1.9618077600428356,1.389581936119521e-5,4.698554475953665,12.39327840814336,-10.724850617715926,1.9625646615389696,5.2055268297496696e-8,-14.573696966780204,-6.8760042686516485,no
Antifa start West Coast wildfires,Panel 1 (Lucid),7.377116957690499,1.7134449763163506,1.7464623538032694e-5,4.0168110766476115,10.737422838733387,-11.59106408088385,1.742209446284224,3.6852674985201196e-11,-15.007781121277723,-8.174347040489977,yes
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),6.868924276463612,2.154503233040668,0.0014534851132123,2.643664954531973,11.09418359839525,-11.01426858407863,2.1316461418311468,2.610674744565886e-7,-15.19470219573785,-6.83383497241941,no
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),5.78003560600394,1.9287623287640987,0.00276188562762837,1.9974655717720484,9.562605640235832,-10.119993655476808,1.883274260968792,8.607476075983875e-8,-13.813355289279244,-6.426632021674372,yes
Meta-analysis,Meta-analysis,4.121794325271258,1.1851129544843162,5.052152969739704e-4,1.7990156168701432,6.444573033672373,-10.514251768328224,1.2714053372059868,1.341981622714034e-16,-13.00616043900396,-8.022343097652488,no
Meta-analysis,Meta-analysis,4.30305062861729,1.0689507746273725,5.685680245619194e-5,2.207945609101448,6.398155648133131,-10.518621251909812,1.1406301583577771,2.9225421556750477e-20,-12.754215281971273,-8.28302722184835,yes
