treatment,topic_short_2,mu,se,lo,hi,term,xnum,star,p.value
control,Joe Biden has never made more than $400k,39.24108527131782,1.3385947168491568,36.617439626293475,41.86473091634217,treatmentfactcheck,2.5,***,6.1778605867397535e-16
control,Presidential winner must be announced election night,44.32600732600731,2.418004589231883,39.58671833111282,49.065296320901794,treatmentfactcheck,2.5,*,0.03965046485211662
control,Sen Coon's daughter's photo on Hunter Biden's laptop,47.89382239382242,2.06343690074169,43.849486068368705,51.93815871927613,treatmentcontrol,1.5,**,0.00261885412374677
control,Trump said 'Good' to children's separation,57.40069686411148,2.022897482705985,53.43581779800775,61.365575930215215,treatmentfactcheck,2.5,***,1.662701407816644e-11
control,Wisconsin has more votes than registered voters,42.371012482662955,1.3971856165509242,39.632528674223146,45.109496291102765,treatmentcontrol,1.5,***,1.0035121588612396e-4
control,Wisconsin has more votes than registered voters,42.371012482662955,1.3971856165509242,39.632528674223146,45.109496291102765,treatmentfactcheck,2.5,***,8.714138400891102e-10
control,GOP voters' pens invisible to voting machines,41.89341917024321,1.3630925511135947,39.22175777006057,44.565080570425856,treatmentcontrol,1.5,***,1.2762888973322378e-10
control,GOP voters' pens invisible to voting machines,41.89341917024321,1.3630925511135947,39.22175777006057,44.565080570425856,treatmentfactcheck,2.5,***,2.3499058259849655e-7
control,USPS fails to deliver 27% of mail ballots in South FL,46.17876344086021,1.269210281561355,43.691111288999956,48.66641559272046,treatmentcontrol,1.5,*,0.01445900839312587
control,USPS fails to deliver 27% of mail ballots in South FL,46.17876344086021,1.269210281561355,43.691111288999956,48.66641559272046,treatmentfactcheck,2.5,***,1.0894752673379956e-12
misinformation,A black man invented the light bulb (Lucid),39.736336779911355,1.4504108519015397,36.89353151018434,42.57914204963837,treatmentcontrol,1.5,***,2.5318295133231988e-5
misinformation,Antifa start West Coast wildfires (Lucid),38.978773584905674,1.4608621318538402,36.11548380647215,41.8420633633392,treatmentcontrol,1.5,***,1.389581936119521e-5
misinformation,Antifa start West Coast wildfires (Lucid),38.978773584905674,1.4608621318538402,36.11548380647215,41.8420633633392,treatmentfactcheck,2.5,***,5.2055268297496696e-8
misinformation,SARS-CoV-2 man made virus created in the lab (Lucid),54.15805471124619,1.5157895748305488,51.18710714457831,57.12900227791406,treatmentcontrol,1.5,**,0.0014534851132123
misinformation,SARS-CoV-2 man made virus created in the lab (Lucid),54.15805471124619,1.5157895748305488,51.18710714457831,57.12900227791406,treatmentfactcheck,2.5,***,2.610674744565886e-7
misinformation,A black man invented the light bulb (MTurk),56.88067349926796,1.4657017914703567,54.007897987986055,59.75344901054986,treatmentcontrol,1.5,**,0.00553890030185672
misinformation,A black man invented the light bulb (MTurk),56.88067349926796,1.4657017914703567,54.007897987986055,59.75344901054986,treatmentfactcheck,2.5,*,0.01581695149348191
misinformation,Antifa start West Coast wildfires (MTurk),52.951977401129966,1.515300772372364,49.981987887280134,55.9219669149798,NA,NA,NA,NA
misinformation,SARS-CoV-2 man made virus created in the lab (MTurk),62.0217391304348,1.4287680856033755,59.221353682652186,64.82212457821741,NA,NA,NA,NA
misinformation,Biden wears wire at debate,45.75337331334338,1.4766928610958703,42.859055305595476,48.64769132109129,treatmentfactcheck,2.5,*,0.02825693820763744
misinformation,Trump holds Bible upside down,69.54401154401155,1.2325861725610925,67.12814264579181,71.9598804422313,treatmentcontrol,1.5,**,0.00457896003543182
misinformation,Trump holds Bible upside down,69.54401154401155,1.2325861725610925,67.12814264579181,71.9598804422313,treatmentfactcheck,2.5,***,3.681056417101478e-26
misinformation,Trump responsible for all Covid deaths,51.37460815047023,1.5904807954271956,48.25726579143293,54.49195050950753,treatmentfactcheck,2.5,***,4.861391094337629e-5
misinformation,Donald Trump claimed his DNA was USA,36.09388971684055,1.4117180648199097,33.32692230979353,38.86085712388757,treatmentfactcheck,2.5,***,6.188208169256742e-6
misinformation,Obama failed to nominate US judges,53.89985795454546,1.3577565559138804,51.238655104954255,56.561060804136666,treatmentcontrol,1.5,***,2.624605766605267e-5
misinformation,Obama failed to nominate US judges,53.89985795454546,1.3577565559138804,51.238655104954255,56.561060804136666,treatmentfactcheck,2.5,***,5.617239863704392e-19
misinformation,Judge Barrett made homophobic and racist statements,43.20617816091955,1.4048446049295429,40.452682735257646,45.95967358658145,treatmentfactcheck,2.5,***,2.9962863353455253e-15
misinformation,Trump chose Judge Barrett on basis of looks,45.307193396226374,1.262522606051286,42.832649088365855,47.78173770408689,treatmentcontrol,1.5,***,7.258017406535918e-8
misinformation,Trump chose Judge Barrett on basis of looks,45.307193396226374,1.262522606051286,42.832649088365855,47.78173770408689,treatmentfactcheck,2.5,***,1.363251141953826e-33
misinformation,WHO: children to be vaccinated without parents' consent,33.635198135198124,1.2083724404721767,31.266788151872657,36.00360811852359,treatmentcontrol,1.5,***,2.302724932740632e-4
misinformation,WHO: children to be vaccinated without parents' consent,33.635198135198124,1.2083724404721767,31.266788151872657,36.00360811852359,treatmentfactcheck,2.5,***,3.308242067205299e-5
misinformation,Hunter Biden's laptop had photos torturing children,27.850698856416763,1.244044698178482,25.41237124798694,30.289026464846586,treatmentfactcheck,2.5,**,0.00998206654649248
misinformation,Kamala Harris imprisoned prolife activists,60.37413793103447,1.4575467726465194,57.51734625664729,63.23092960542164,treatmentcontrol,1.5,***,1.234344615993321e-11
misinformation,Kamala Harris imprisoned prolife activists,60.37413793103447,1.4575467726465194,57.51734625664729,63.23092960542164,treatmentfactcheck,2.5,***,9.578596934551632e-11
misinformation,Biden and Obama plotted to have Seal Team 6 murdered,37.44570707070708,1.2695939473978548,34.957302933807284,39.934111207606875,treatmentcontrol,1.5,***,8.439031478814813e-4
misinformation,Biden and Obama plotted to have Seal Team 6 murdered,37.44570707070708,1.2695939473978548,34.957302933807284,39.934111207606875,treatmentfactcheck,2.5,***,1.522847767943477e-7
misinformation,Joe Biden has never made more than $400k,49.8953301127214,1.5226530392550521,46.9109301557815,52.879730069661306,treatmentcontrol,1.5,***,1.6441279278996134e-7
misinformation,Joe Biden has never made more than $400k,49.8953301127214,1.5226530392550521,46.9109301557815,52.879730069661306,treatmentfactcheck,2.5,***,6.1778605867397535e-16
misinformation,Presidential winner must be announced election night,41.526515151515156,2.386631360753207,36.84871768443887,46.204312618591445,treatmentfactcheck,2.5,*,0.03965046485211662
misinformation,Sen Coon's daughter's photo on Hunter Biden's laptop,38.95422535211268,2.124156965137322,34.79087770044353,43.11757300378183,treatmentcontrol,1.5,**,0.00261885412374677
misinformation,Trump said 'Good' to children's separation,53.10116731517511,2.2770456554710163,48.63815783045192,57.564176799898306,treatmentfactcheck,2.5,***,1.662701407816644e-11
misinformation,Wisconsin has more votes than registered voters,50.27653631284914,1.470647387495843,47.394067433357286,53.15900519234099,treatmentcontrol,1.5,***,1.0035121588612396e-4
misinformation,Wisconsin has more votes than registered voters,50.27653631284914,1.470647387495843,47.394067433357286,53.15900519234099,treatmentfactcheck,2.5,***,8.714138400891102e-10
misinformation,GOP voters' pens invisible to voting machines,54.86344238975821,1.4730788293541448,51.97620788422409,57.75067689529234,treatmentcontrol,1.5,***,1.2762888973322378e-10
misinformation,GOP voters' pens invisible to voting machines,54.86344238975821,1.4730788293541448,51.97620788422409,57.75067689529234,treatmentfactcheck,2.5,***,2.3499058259849655e-7
misinformation,USPS fails to deliver 27% of mail ballots in South FL,50.80678466076695,1.4014926711931441,48.05985902522839,53.55371029630551,treatmentcontrol,1.5,*,0.01445900839312587
misinformation,USPS fails to deliver 27% of mail ballots in South FL,50.80678466076695,1.4014926711931441,48.05985902522839,53.55371029630551,treatmentfactcheck,2.5,***,1.0894752673379956e-12
factcheck,A black man invented the light bulb (Lucid),37.052706552706546,1.4568816615202638,34.19721849612683,39.90819460928626,treatmentcontrol,1.5,***,2.5318295133231988e-5
factcheck,Antifa start West Coast wildfires (Lucid),28.253922967189723,1.310550221257093,25.68524453352582,30.822601400853625,treatmentcontrol,1.5,***,1.389581936119521e-5
factcheck,Antifa start West Coast wildfires (Lucid),28.253922967189723,1.310550221257093,25.68524453352582,30.822601400853625,treatmentfactcheck,2.5,***,5.2055268297496696e-8
factcheck,SARS-CoV-2 man made virus created in the lab (Lucid),43.14378612716761,1.4987652380605037,40.20620626056902,46.0813659937662,treatmentcontrol,1.5,**,0.0014534851132123
factcheck,SARS-CoV-2 man made virus created in the lab (Lucid),43.14378612716761,1.4987652380605037,40.20620626056902,46.0813659937662,treatmentfactcheck,2.5,***,2.610674744565886e-7
factcheck,A black man invented the light bulb (MTurk),51.72640117994101,1.5512301391180103,48.68599010726971,54.766812252612304,treatmentcontrol,1.5,**,0.00553890030185672
factcheck,A black man invented the light bulb (MTurk),51.72640117994101,1.5512301391180103,48.68599010726971,54.766812252612304,treatmentfactcheck,2.5,*,0.01581695149348191
factcheck,Antifa start West Coast wildfires (MTurk),50.99248120300753,1.614345791478456,47.828363451709755,54.1565989543053,NA,NA,NA,NA
factcheck,SARS-CoV-2 man made virus created in the lab (MTurk),58.15629860031105,1.5934138064509364,55.03320753966721,61.279389660954884,NA,NA,NA,NA
factcheck,Biden wears wire at debate,41.04887218045115,1.5530067660903921,38.00497891891398,44.09276544198832,treatmentfactcheck,2.5,*,0.02825693820763744
factcheck,Trump holds Bible upside down,48.38789237668168,1.5386960916940877,45.37204803696127,51.403736716402086,treatmentcontrol,1.5,**,0.00457896003543182
factcheck,Trump holds Bible upside down,48.38789237668168,1.5386960916940877,45.37204803696127,51.403736716402086,treatmentfactcheck,2.5,***,3.681056417101478e-26
factcheck,Trump responsible for all Covid deaths,42.08630952380946,1.6357822996177753,38.880176216558624,45.2924428310603,treatmentfactcheck,2.5,***,4.861391094337629e-5
factcheck,Donald Trump claimed his DNA was USA,27.46384720327422,1.2781680331464726,24.958637858307135,29.969056548241305,treatmentfactcheck,2.5,***,6.188208169256742e-6
factcheck,Obama failed to nominate US judges,36.22775263951735,1.422545307000198,33.43956383779696,39.015941441237736,treatmentcontrol,1.5,***,2.624605766605267e-5
factcheck,Obama failed to nominate US judges,36.22775263951735,1.422545307000198,33.43956383779696,39.015941441237736,treatmentfactcheck,2.5,***,5.617239863704392e-19
factcheck,Judge Barrett made homophobic and racist statements,27.74405705229795,1.3442298831875013,25.109366481250447,30.378747623345454,treatmentfactcheck,2.5,***,2.9962863353455253e-15
factcheck,Trump chose Judge Barrett on basis of looks,24.50635838150289,1.1338844426732637,22.28394487386329,26.728771889142486,treatmentcontrol,1.5,***,7.258017406535918e-8
factcheck,Trump chose Judge Barrett on basis of looks,24.50635838150289,1.1338844426732637,22.28394487386329,26.728771889142486,treatmentfactcheck,2.5,***,1.363251141953826e-33
factcheck,WHO: children to be vaccinated without parents' consent,26.326757090012265,1.276024643263212,23.82574878921637,28.82776539080816,treatmentcontrol,1.5,***,2.302724932740632e-4
factcheck,WHO: children to be vaccinated without parents' consent,26.326757090012265,1.276024643263212,23.82574878921637,28.82776539080816,treatmentfactcheck,2.5,***,3.308242067205299e-5
factcheck,Hunter Biden's laptop had photos torturing children,23.513097949886042,1.132434112605009,21.293527089180223,25.73266881059186,treatmentfactcheck,2.5,**,0.00998206654649248
factcheck,Kamala Harris imprisoned prolife activists,46.81062874251498,1.4887047112074272,43.892767508548424,49.728489976481534,treatmentcontrol,1.5,***,1.234344615993321e-11
factcheck,Kamala Harris imprisoned prolife activists,46.81062874251498,1.4887047112074272,43.892767508548424,49.728489976481534,treatmentfactcheck,2.5,***,9.578596934551632e-11
factcheck,Biden and Obama plotted to have Seal Team 6 murdered,27.979889042995822,1.2708076749424786,25.489106000108563,30.47067208588308,treatmentcontrol,1.5,***,8.439031478814813e-4
factcheck,Biden and Obama plotted to have Seal Team 6 murdered,27.979889042995822,1.2708076749424786,25.489106000108563,30.47067208588308,treatmentfactcheck,2.5,***,1.522847767943477e-7
factcheck,Joe Biden has never made more than $400k,32.800462249614775,1.4402070399225801,29.977656451366517,35.62326804786303,treatmentcontrol,1.5,***,1.6441279278996134e-7
factcheck,Joe Biden has never made more than $400k,32.800462249614775,1.4402070399225801,29.977656451366517,35.62326804786303,treatmentfactcheck,2.5,***,6.1778605867397535e-16
factcheck,Presidential winner must be announced election night,34.50751879699249,2.430060084137467,29.744601032083057,39.27043656190193,treatmentfactcheck,2.5,*,0.03965046485211662
factcheck,Sen Coon's daughter's photo on Hunter Biden's laptop,39.39885496183206,2.3953761212499636,34.70391776418213,44.093792159481985,treatmentcontrol,1.5,**,0.00261885412374677
factcheck,Trump said 'Good' to children's separation,31.28927203065135,2.238218359745459,26.90236404555025,35.67618001575245,treatmentfactcheck,2.5,***,1.662701407816644e-11
factcheck,Wisconsin has more votes than registered voters,37.54111600587374,1.453375726923446,34.69249958110379,40.38973243064369,treatmentcontrol,1.5,***,1.0035121588612396e-4
factcheck,Wisconsin has more votes than registered voters,37.54111600587374,1.453375726923446,34.69249958110379,40.38973243064369,treatmentfactcheck,2.5,***,8.714138400891102e-10
factcheck,GOP voters' pens invisible to voting machines,43.983711048158646,1.4935331387579358,41.056386096193094,46.9110360001242,treatmentcontrol,1.5,***,1.2762888973322378e-10
factcheck,GOP voters' pens invisible to voting machines,43.983711048158646,1.4935331387579358,41.056386096193094,46.9110360001242,treatmentfactcheck,2.5,***,2.3499058259849655e-7
factcheck,USPS fails to deliver 27% of mail ballots in South FL,36.40500000000002,1.4418760717816395,33.57892289930801,39.23107710069203,treatmentcontrol,1.5,*,0.01445900839312587
factcheck,USPS fails to deliver 27% of mail ballots in South FL,36.40500000000002,1.4418760717816395,33.57892289930801,39.23107710069203,treatmentfactcheck,2.5,***,1.0894752673379956e-12
