topic_short,panel_factor,lucid_pid_3,ctrl_estimate,ctrl_std.error,ctrl_p.value,ctrl_conf.low,ctrl_conf.high,chk_estimate,chk_std.error,chk_p.value,chk_conf.low,chk_conf.high,covariates
Trump said 'Good' to children's separation,Panel 6 (MTurk),Republican,-15.716295789113332,4.765267082434038,0.00107514155112695,-25.0890235422595,-6.3435680359671665,-5.613250517598339,5.378703284548427,0.29740023615311817,-16.1925361439719,4.966035108775221,no
Trump said 'Good' to children's separation,Panel 6 (MTurk),Republican,-10.25053420276408,3.715841342189515,0.00613055534195826,-17.56042211131586,-2.9406462942123053,-4.97583658622326,4.209434907913205,0.238035121973416,-13.256733024352489,3.305059851905969,yes
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),Republican,11.128677685950404,3.481593897531086,0.00144365413226797,4.2949854347432215,17.962369937157586,-11.805303452821564,2.7867687789027196,2.5259629946092807e-5,-17.275189019831057,-6.33541788581207,no
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),Republican,14.590715305431235,3.171253509598809,4.871337367386955e-6,8.365984834418366,20.815445776444104,-13.722622576438912,2.5562360504185357,1.0354768640410141e-7,-18.740159139182783,-8.705086013695041,yes
Joe Biden has never made more than $400k,Panel 5 (Lucid),Republican,2.7797768582828715,3.109709949786034,0.37162869325212067,-3.3238852181488276,8.88343893471457,-10.873228622231816,3.205595800086007,7.261993018824029e-4,-17.165093083320844,-4.581364161142788,no
Joe Biden has never made more than $400k,Panel 5 (Lucid),Republican,2.6784825787157063,2.8242300429119287,0.3432053352112655,-2.8650000343857513,8.221965191817164,-10.06106578864587,2.9215494396569155,6.024966972309792e-4,-15.79556980424509,-4.326561773046648,yes
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),Republican,12.266814013054644,2.747617442388563,9.119575050232696e-6,6.873812144479587,17.659815881629704,-10.73001850014749,2.8684022026670632,1.9592167193936745e-4,-16.36009574458385,-5.09994125571113,no
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),Republican,12.446176251953013,2.7035078814129316,4.804889642380172e-6,7.139603603717584,17.752748900188443,-10.943316962730204,2.8245154353211044,1.1536893913271103e-4,-16.48740893917391,-5.399224986286498,yes
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),Republican,3.633238203078049,3.0983303733315797,0.24123827016512797,-2.447274170270496,9.713750576426593,-6.8835290971550505,3.0630898576969403,0.02485730148432962,-12.894881514804876,-0.872176679505225,no
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),Republican,3.678833415359505,2.545512309259732,0.14873721256754804,-1.3168800121863595,8.67454684290537,-4.533356957209494,2.4756998384795104,0.06740409224003129,-9.392059419843417,0.3253455054244263,yes
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),Republican,9.322860163891123,3.1255658138999114,0.00293064005808668,3.188923486861431,15.456796840920816,-17.115852842809357,3.038033322781215,2.3314071123811923e-8,-23.078006620462244,-11.15369906515647,no
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),Republican,8.411852393265587,2.582828160464268,0.00116785794129124,3.342926367043569,13.480778419487605,-16.11100357703565,2.6116246240747905,1.029087084050744e-9,-21.23644406523113,-10.985563088840172,yes
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),Republican,-1.1899230189278176,2.9196287135852015,0.6836904476984496,-6.919723149212124,4.539877111356488,-6.564542243155738,3.2207574135377297,0.04181167933963122,-12.88531041543522,-0.24377407087625613,no
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),Republican,-0.7941601321599164,2.5340014082057483,0.7540468282739003,-5.7672755831348566,4.1789553188150235,-7.468635221489177,2.6527859657260957,0.00497617291064953,-12.674871820869452,-2.2623986221089014,yes
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),Republican,-4.016550566939565,3.1438168652474663,0.20173333434084437,-10.186982307618877,2.1538811737397445,-10.620390103780576,3.080965500432993,5.940610866222955e-4,-16.66746222364886,-4.573317983912295,no
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),Republican,-3.726037539396951,3.018621258612061,0.2174149726844833,-9.650902931490265,2.198827852696363,-10.9121806097368,2.757924200160942,8.2376355673123e-5,-16.325357105771733,-5.499004113701865,yes
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),Republican,-4.324982340475665,2.978136050780552,0.14680000237357815,-10.17028666713002,1.5203219861786907,-8.514167219641658,2.8605111486515407,0.00299817461594163,-14.128604541695337,-2.8997298975879824,no
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),Republican,-0.9468034992579832,2.574968981135984,0.713193213676682,-6.000932328312537,4.10732532979657,-9.119118906352352,2.4546259801215338,2.165792097135216e-4,-13.93703944114864,-4.3011983715560635,yes
Obama failed to nominate US judges,Panel 3 (Lucid),Republican,11.509581561967204,2.786950705429193,3.9843467669370973e-5,6.039569181355467,16.97959394257894,-18.004041359308975,2.968233304188397,1.967112295122301e-9,-23.829861274539308,-12.17822144407864,no
Obama failed to nominate US judges,Panel 3 (Lucid),Republican,11.363706057368097,2.6573084771537694,2.1161373890200236e-5,6.14800644573714,16.57940566899905,-17.349124239895367,2.912834315843034,3.787205149806112e-9,-23.066363672390764,-11.631884807399969,yes
Biden wears wire at debate,Panel 2 (MTurk),Republican,-1.7248390257558757,2.9134586577199393,0.5539815341129537,-7.442734849051826,3.993056797540074,-5.320965630114583,3.033316825575084,0.07973801197964131,-11.274092701861877,0.6321614416327108,no
Biden wears wire at debate,Panel 2 (MTurk),Republican,2.0308916503003767,2.5564318985593615,0.427159758585076,-2.986430700272664,7.0482140008734175,-5.350196123780133,2.41180678281149,0.02678311078312856,-10.083673312624075,-0.6167189349361895,yes
Trump holds Bible upside down,Panel 2 (MTurk),Republican,1.775333957287502,2.7373669600861312,0.5167899937193019,-3.5969757199114034,7.147643634486407,-11.730443176095358,3.0610144372436436,1.357537547258831e-4,-17.737937868269242,-5.722948483921476,no
Trump holds Bible upside down,Panel 2 (MTurk),Republican,1.8738885815499249,2.3730889512083366,0.4299474795924256,-2.7836070465923477,6.531384209692197,-11.840670894202386,2.5943191765537956,5.720568863732193e-6,-16.932359605092252,-6.748982183312519,yes
Trump responsible for all Covid deaths,Panel 2 (MTurk),Republican,-0.7558404558404518,3.46562666220733,0.8274031151009464,-7.557420195207641,6.045739283526737,1.3856481481481435,3.4597905819334276,0.6888821694414966,-5.4044777996779185,8.175774095974205,no
Trump responsible for all Covid deaths,Panel 2 (MTurk),Republican,-2.1471711372874336,2.643550335215771,0.4168765625665882,-7.335482398343311,3.041140123768443,-0.779479839691677,2.516243722980209,0.7568013433880663,-5.717935321165914,4.158975641782559,yes
A black man invented the light bulb,Panel 1 (MTurk),Republican,4.517155758024532,2.857930762403669,0.11427446600649464,-1.090676745000441,10.124988261049506,-1.3641595033428824,2.8077491110195067,0.6271700601490444,-6.873525556659013,4.145206549973247,no
A black man invented the light bulb,Panel 1 (MTurk),Republican,2.8482084108949173,1.9995491367421017,0.15462165351618495,-1.075375914077005,6.771792735866839,-0.984915311234607,1.9428752410382717,0.6123058834729437,-4.797292162115173,2.827461539645959,yes
Antifa start West Coast wildfires,Panel 1 (MTurk),Republican,6.235154061624665,2.603926626008769,0.0168150246844462,1.125717543326085,11.344590579923246,-4.583643293382918,2.5588019399903428,0.07352652061924192,-9.604535950147003,0.4372493633811674,no
Antifa start West Coast wildfires,Panel 1 (MTurk),Republican,5.389803228585846,2.0066938514928587,0.00734798162004185,1.4521905593410849,9.327415897830608,-5.58720308868685,1.9643632817364425,0.00453807372388948,-9.44175306870016,-1.7326531086735395,yes
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),Republican,0.3097786994383359,2.20712930818582,0.8884071758211866,-4.021051016818884,4.6406084156955565,0.18905817174514675,2.2155267923387023,0.93201251703554,-4.158249090153019,4.536365433643313,no
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),Republican,0.6390516090585495,2.0057872854639553,0.7500905164499246,-3.2967734266276834,4.574876644744783,-0.12523099064782947,1.941808958536688,0.9485908621056298,-3.935515545204024,3.6850535639083657,yes
A black man invented the light bulb,Panel 1 (Lucid),Republican,4.242378557314785,3.09615141079472,0.1709843241046371,-1.8346505703184384,10.319407684948008,2.5486260159741128,3.189823550660675,0.42452221453795014,-3.712259857304191,8.809511889252416,no
A black man invented the light bulb,Panel 1 (Lucid),Republican,4.557090844575959,2.7064208790954556,0.0925944988965934,-0.7551337496154513,9.86931543876737,-1.628327252940597,2.6532239130892443,0.5395706475213338,-6.836135629633342,3.5794811237521484,yes
Antifa start West Coast wildfires,Panel 1 (Lucid),Republican,8.095342380039918,3.2556435266344583,0.01309092554335523,1.705234614388286,14.485450145691551,-13.429888380114956,3.142338012615344,2.1401969337739027e-5,-19.59760249636936,-7.262174263860551,no
Antifa start West Coast wildfires,Panel 1 (Lucid),Republican,9.802195255177786,2.896649924117243,7.480177242139821e-4,4.116554708487043,15.487835801868528,-15.269082281847131,2.7531540147919156,3.9318875094418544e-8,-20.67306429826416,-9.865100265430108,yes
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),Republican,5.555125448028682,3.0477160502056893,0.06869902699572496,-0.42684638738257075,11.537097283439934,-10.214786464977829,3.0068028129358764,7.124969617615801e-4,-16.11645494239515,-4.313117987560507,no
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),Republican,5.719918288167929,2.9865152956195455,0.05580424053260917,-0.142092312872788,11.581928889208648,-9.04905579481569,2.882347490455276,0.00175240233931929,-14.70660309407599,-3.3915084955553896,yes
Meta-analysis,Meta-analysis,Republican,3.393935972421272,1.3473310512457308,0.011768641054622574,0.7532156367271505,6.034656308115393,-8.760983787956942,1.2928123531816402,1.2296345627383754e-11,-11.294849438961432,-6.227118136952452,no
Meta-analysis,Meta-analysis,Republican,3.7871635280278086,1.259311956041718,0.0026355562071625196,1.3189574488853544,6.2553696071702625,-8.635714505082193,1.178775748564534,2.3711873427655387e-13,-10.946072518117921,-6.325356492046465,yes
