topic_short,panel_factor,lucid_pid_3,covariates,Average Effect of Misinformation versus Control,Average Effect of Correction versus Misinformation
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),Republican,yes,"-0.79 (2.53) [-5.77, 4.18]","-7.47 (2.65)* [-12.67, -2.26]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),Republican,no,"-4.02 (3.14) [-10.19, 2.15]","-10.62 (3.08)* [-16.67, -4.57]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),Republican,yes,"-3.73 (3.02) [-9.65, 2.20]","-10.91 (2.76)* [-16.33, -5.50]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),Republican,no,"-4.32 (2.98) [-10.17, 1.52]","-8.51 (2.86)* [-14.13, -2.90]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),Republican,yes,"-0.95 (2.57) [-6.00, 4.11]","-9.12 (2.45)* [-13.94, -4.30]"
Obama failed to nominate US judges,Panel 3 (Lucid),Republican,no,"11.51 (2.79)* [6.04, 16.98]","-18.00 (2.97)* [-23.83, -12.18]"
Obama failed to nominate US judges,Panel 3 (Lucid),Republican,yes,"11.36 (2.66)* [6.15, 16.58]","-17.35 (2.91)* [-23.07, -11.63]"
Biden wears wire at debate,Panel 2 (MTurk),Republican,no,"-1.72 (2.91) [-7.44, 3.99]","-5.32 (3.03) [-11.27, 0.63]"
Biden wears wire at debate,Panel 2 (MTurk),Republican,yes,"2.03 (2.56) [-2.99, 7.05]","-5.35 (2.41)* [-10.08, -0.62]"
Trump holds Bible upside down,Panel 2 (MTurk),Republican,no,"1.78 (2.74) [-3.60, 7.15]","-11.73 (3.06)* [-17.74, -5.72]"
Trump holds Bible upside down,Panel 2 (MTurk),Republican,yes,"1.87 (2.37) [-2.78, 6.53]","-11.84 (2.59)* [-16.93, -6.75]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),Republican,no,"-0.76 (3.47) [-7.56, 6.05]","1.39 (3.46) [-5.40, 8.18]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),Republican,yes,"-2.15 (2.64) [-7.34, 3.04]","-0.78 (2.52) [-5.72, 4.16]"
A black man invented the light bulb,Panel 1 (MTurk),Republican,no,"4.52 (2.86) [-1.09, 10.12]","-1.36 (2.81) [-6.87, 4.15]"
A black man invented the light bulb,Panel 1 (MTurk),Republican,yes,"2.85 (2.00) [-1.08, 6.77]","-0.98 (1.94) [-4.80, 2.83]"
Antifa start West Coast wildfires,Panel 1 (MTurk),Republican,no,"6.24 (2.60)* [1.13, 11.34]","-4.58 (2.56) [-9.60, 0.44]"
Antifa start West Coast wildfires,Panel 1 (MTurk),Republican,yes,"5.39 (2.01)* [1.45, 9.33]","-5.59 (1.96)* [-9.44, -1.73]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),Republican,no,"0.31 (2.21) [-4.02, 4.64]","0.19 (2.22) [-4.16, 4.54]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),Republican,yes,"0.64 (2.01) [-3.30, 4.57]","-0.13 (1.94) [-3.94, 3.69]"
A black man invented the light bulb,Panel 1 (Lucid),Republican,no,"4.24 (3.10) [-1.83, 10.32]","2.55 (3.19) [-3.71, 8.81]"
A black man invented the light bulb,Panel 1 (Lucid),Republican,yes,"4.56 (2.71) [-0.76, 9.87]","-1.63 (2.65) [-6.84, 3.58]"
Antifa start West Coast wildfires,Panel 1 (Lucid),Republican,no,"8.10 (3.26)* [1.71, 14.49]","-13.43 (3.14)* [-19.60, -7.26]"
Antifa start West Coast wildfires,Panel 1 (Lucid),Republican,yes,"9.80 (2.90)* [4.12, 15.49]","-15.27 (2.75)* [-20.67, -9.87]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),Republican,no,"5.56 (3.05) [-0.43, 11.54]","-10.21 (3.01)* [-16.12, -4.31]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),Republican,yes,"5.72 (2.99) [-0.14, 11.58]","-9.05 (2.88)* [-14.71, -3.39]"
Meta-analysis,Meta-analysis,Republican,no,"3.39 (1.35)* [0.75, 6.03]","-8.76 (1.29)* [-11.29, -6.23]"
Meta-analysis,Meta-analysis,Republican,yes,"3.79 (1.26)* [1.32, 6.26]","-8.64 (1.18)* [-10.95, -6.33]"
