congeniality,lucid_pid_3,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,term,topic_short_2,type,pg,lab,fc,panel,panel_factor,df,outcome
"False claim
congenial to
Democrats",Republican,NA,-1.628327252940597,2.6532239130892443,-0.6137164846538251,0.5395706475213338,-6.836135629633342,3.5794811237521484,treatmentfactcheck,A black man invented the light bulb (Lucid),Correction effect,insig,-1.6,1,panel_1_lucid,Panel 1 (Lucid),831,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,7.230965232094613,2.627664544112372,-2.751860106457098,0.00604917558902784,2.073654305202719,12.388276158986509,treatmentcontrol,A black man invented the light bulb (MTurk),Misinformation effect,sig,7.2,1,panel_1_mturk,Panel 1 (MTurk),869,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,-7.617721506433152,2.6187259225683466,-2.908941879248662,0.00371898575434116,-12.757488622162526,-2.4779543907037764,treatmentfactcheck,A black man invented the light bulb (MTurk),Correction effect,sig,-7.6,1,panel_1_mturk,Panel 1 (MTurk),869,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,2.8482084108949173,1.9995491367421017,-1.4244253159667537,0.15462165351618495,-1.075375914077005,6.771792735866839,treatmentcontrol,A black man invented the light bulb (MTurk),Misinformation effect,insig,2.8,1,panel_1_mturk,Panel 1 (MTurk),1046,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-0.984915311234607,1.9428752410382717,-0.5069369820721318,0.6123058834729437,-4.797292162115173,2.827461539645959,treatmentfactcheck,A black man invented the light bulb (MTurk),Correction effect,insig,-1,1,panel_1_mturk,Panel 1 (MTurk),1046,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,0.0208228183840113,2.410982520155418,-0.00863665257210948,0.9931108283016868,-4.710581296493142,4.752226933261165,treatmentcontrol,Biden wears wire at debate,Misinformation effect,insig,,1,panel_2_mturk,Panel 2 (MTurk),960,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-8.511731361751382,2.399122545500876,-3.5478518501331275,4.071824826391086e-4,-13.219861009719825,-3.80360171378294,treatmentfactcheck,Biden wears wire at debate,Correction effect,sig,-8.5,1,panel_2_mturk,Panel 2 (MTurk),960,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,2.0308916503003767,2.5564318985593615,-0.794424311261667,0.427159758585076,-2.986430700272664,7.0482140008734175,treatmentcontrol,Biden wears wire at debate,Misinformation effect,insig,2,1,panel_2_mturk,Panel 2 (MTurk),892,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-5.350196123780133,2.41180678281149,-2.21833530028608,0.02678311078312856,-10.083673312624075,-0.6167189349361895,treatmentfactcheck,Biden wears wire at debate,Correction effect,sig,-5.4,1,panel_2_mturk,Panel 2 (MTurk),892,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,0.0677824012150074,2.969648838864902,-0.02282505605643126,0.9817949899200216,-5.760629561842882,5.896194364272897,treatmentcontrol,Donald Trump claimed his DNA was USA,Misinformation effect,insig,.1,1,panel_3_lucid,Panel 3 (Lucid),881,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,-7.995005014934025,2.7763474912415926,-2.8796845640379942,0.00407717785978155,-13.444032091732584,-2.545977938135464,treatmentfactcheck,Donald Trump claimed his DNA was USA,Correction effect,sig,-8,1,panel_3_lucid,Panel 3 (Lucid),881,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-3.726037539396951,3.018621258612061,1.234350791364318,0.2174149726844833,-9.650902931490265,2.198827852696363,treatmentcontrol,Donald Trump claimed his DNA was USA,Misinformation effect,insig,-3.7,1,panel_3_lucid,Panel 3 (Lucid),846,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-10.9121806097368,2.757924200160942,-3.956664439544787,8.2376355673123e-5,-16.325357105771733,-5.499004113701865,treatmentfactcheck,Donald Trump claimed his DNA was USA,Correction effect,sig,-10.9,1,panel_3_lucid,Panel 3 (Lucid),846,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,10.68762327998468,2.0895639756851887,-5.114762411847239,3.5931856634322797e-7,6.588483486188577,14.786763073780786,treatmentcontrol,Trump chose Judge Barrett on basis of looks,Misinformation effect,sig,10.7,1,panel_4_mturk,Panel 4 (MTurk),1352,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,-23.47722509081788,2.00313958184902,-11.72021425943117,2.7708684639693984e-30,-27.406824408203168,-19.54762577343259,treatmentfactcheck,Trump chose Judge Barrett on basis of looks,Correction effect,sig,-23.5,1,panel_4_mturk,Panel 4 (MTurk),1352,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,8.411852393265587,2.582828160464268,-3.256837803624358,0.00116785794129124,3.342926367043569,13.480778419487605,treatmentcontrol,Trump chose Judge Barrett on basis of looks,Misinformation effect,sig,8.4,1,panel_4_mturk,Panel 4 (MTurk),919,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-16.11100357703565,2.6116246240747905,-6.168958367339345,1.029087084050744e-9,-21.23644406523113,-10.985563088840172,treatmentfactcheck,Trump chose Judge Barrett on basis of looks,Correction effect,sig,-16.1,1,panel_4_mturk,Panel 4 (MTurk),919,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,17.810337412446525,2.784094360121124,-6.397174487890444,2.6913454878804457e-10,12.345344661163011,23.27533016373004,treatmentcontrol,Kamala Harris imprisoned prolife activists,Misinformation effect,sig,17.8,1,panel_5_lucid,Panel 5 (Lucid),800,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-16.00095849476263,3.043685874729242,-5.2570991729512935,1.879246395231693e-7,-21.975512188357868,-10.026404801167397,treatmentfactcheck,Kamala Harris imprisoned prolife activists,Correction effect,sig,-16,1,panel_5_lucid,Panel 5 (Lucid),800,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,12.446176251953013,2.7035078814129316,-4.603713692688878,4.804889642380172e-6,7.139603603717584,17.752748900188443,treatmentcontrol,Kamala Harris imprisoned prolife activists,Misinformation effect,sig,12.4,1,panel_5_lucid,Panel 5 (Lucid),824,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-10.943316962730204,2.8245154353211044,-3.8744050841011304,1.1536893913271103e-4,-16.48740893917391,-5.399224986286498,treatmentfactcheck,Kamala Harris imprisoned prolife activists,Correction effect,sig,-10.9,1,panel_5_lucid,Panel 5 (Lucid),824,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-4.58971371870362,3.9410464547836654,1.164592645979242,0.24491260338780427,-12.338638307649642,3.1592108702424015,treatmentcontrol,Presidential winner must be announced election night,Misinformation effect,insig,-4.6,1,panel_6_mturk,Panel 6 (MTurk),381,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-3.6819220499891294,3.569698819678918,-1.0314377307383893,0.3029898893008377,-10.700699239323214,3.336855139344956,treatmentfactcheck,Presidential winner must be announced election night,Correction effect,insig,-3.7,1,panel_6_mturk,Panel 6 (MTurk),381,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-1.3102775159548457,3.9697798000200057,0.3300630216185398,0.7415636923159492,-9.11980739889512,6.499252366985429,treatmentcontrol,Presidential winner must be announced election night,Misinformation effect,insig,-1.3,1,panel_6_mturk,Panel 6 (MTurk),327,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-3.128966344785294,4.267632170007325,-0.7331855746086765,0.46397052831780505,-11.524444844852605,5.266512155282015,treatmentfactcheck,Presidential winner must be announced election night,Correction effect,insig,-3.1,1,panel_6_mturk,Panel 6 (MTurk),327,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,9.555168563133174,2.472151358269715,-3.865122793218025,1.1778059958250908e-4,4.704302066919475,14.406035059346872,treatmentcontrol,Wisconsin has more votes than registered voters,Misinformation effect,sig,9.6,1,panel_7_lucid,Panel 7 (Lucid),1060,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-7.579287762138923,2.64060111430145,-2.8702887842808336,0.00418248936846045,-12.760687126049538,-2.3978883982283072,treatmentfactcheck,Wisconsin has more votes than registered voters,Correction effect,sig,-7.6,1,panel_7_lucid,Panel 7 (Lucid),1060,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,5.162882349746066,2.9729589462499613,-1.7366140747615892,0.08286265688594735,-0.6733537337391766,10.999118433231308,treatmentcontrol,Wisconsin has more votes than registered voters,Misinformation effect,insig,5.2,1,panel_7_lucid,Panel 7 (Lucid),756,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-19.71250457043457,3.126436326550198,-6.305103482528279,4.894626766302278e-10,-25.850033151092333,-13.57497598977681,treatmentfactcheck,Wisconsin has more votes than registered voters,Correction effect,sig,-19.7,1,panel_7_lucid,Panel 7 (Lucid),756,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,4.042061187662705,2.3575726357040767,-1.7145012316685484,0.08678602740334716,-0.5850100362994688,8.66913241162488,treatmentcontrol,Antifa start West Coast wildfires (Lucid),Misinformation effect,insig,4,2,panel_1_lucid,Panel 1 (Lucid),887,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-9.304757062662564,2.441629938138159,-3.81087932996014,1.4803121640018024e-4,-14.096802684175156,-4.512711441149975,treatmentfactcheck,Antifa start West Coast wildfires (Lucid),Correction effect,sig,-9.3,2,panel_1_lucid,Panel 1 (Lucid),887,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,9.802195255177786,2.896649924117243,-3.383976494213402,7.480177242139821e-4,4.116554708487043,15.487835801868528,treatmentcontrol,Antifa start West Coast wildfires (Lucid),Misinformation effect,sig,9.8,2,panel_1_lucid,Panel 1 (Lucid),828,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-15.269082281847131,2.7531540147919156,-5.546032731845253,3.9318875094418544e-8,-20.67306429826416,-9.865100265430108,treatmentfactcheck,Antifa start West Coast wildfires (Lucid),Correction effect,sig,-15.3,2,panel_1_lucid,Panel 1 (Lucid),828,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,2.077396656143917,2.367832457761148,-0.8773410674960314,0.3805436146934599,-2.569935005093418,6.724728317381253,treatmentcontrol,Antifa start West Coast wildfires (MTurk),Misinformation effect,insig,2.1,2,panel_1_mturk,Panel 1 (MTurk),870,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-3.003777622004941,2.416409420561683,-1.2430747854420825,0.2141751713156725,-7.746451019305448,1.7388957752955665,treatmentfactcheck,Antifa start West Coast wildfires (MTurk),Correction effect,insig,-3,2,panel_1_mturk,Panel 1 (MTurk),870,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,5.389803228585846,2.0066938514928587,-2.685912066046427,0.00734798162004185,1.4521905593410849,9.327415897830608,treatmentcontrol,Antifa start West Coast wildfires (MTurk),Misinformation effect,sig,5.4,2,panel_1_mturk,Panel 1 (MTurk),1044,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-5.58720308868685,1.9643632817364425,-2.8442819821738463,0.00453807372388948,-9.44175306870016,-1.7326531086735395,treatmentfactcheck,Antifa start West Coast wildfires (MTurk),Correction effect,sig,-5.6,2,panel_1_mturk,Panel 1 (MTurk),1044,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,8.363556132120744,2.480508231654913,-3.3717106943607504,7.769027449072459e-4,3.495699278979581,13.231412985261906,treatmentcontrol,Trump holds Bible upside down,Misinformation effect,sig,8.4,2,panel_2_mturk,Panel 2 (MTurk),958,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,-27.710921204994904,2.5789095763983494,-10.745208540306942,1.6572599147227769e-25,-32.7718851215414,-22.649957288448405,treatmentfactcheck,Trump holds Bible upside down,Correction effect,sig,-27.7,2,panel_2_mturk,Panel 2 (MTurk),958,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,1.8738885815499249,2.3730889512083366,-0.7896411049386802,0.4299474795924256,-2.7836070465923477,6.531384209692197,treatmentcontrol,Trump holds Bible upside down,Misinformation effect,insig,1.9,2,panel_2_mturk,Panel 2 (MTurk),891,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-11.840670894202386,2.5943191765537956,-4.56407638705856,5.720568863732193e-6,-16.932359605092252,-6.748982183312519,treatmentfactcheck,Trump holds Bible upside down,Correction effect,sig,-11.8,2,panel_2_mturk,Panel 2 (MTurk),891,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,2.492094183030211,2.819881351478999,-0.8837585247064147,0.37706713446937423,-3.0423578292731164,8.026546195333538,treatmentcontrol,Obama failed to nominate US judges,Misinformation effect,insig,2.5,2,panel_3_lucid,Panel 3 (Lucid),883,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-11.797759012295558,2.7340406136709854,-4.315136707663883,1.7752551098679538e-5,-17.163735338964102,-6.431782685627013,treatmentfactcheck,Obama failed to nominate US judges,Correction effect,sig,-11.8,2,panel_3_lucid,Panel 3 (Lucid),883,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,11.363706057368097,2.6573084771537694,-4.276397021673489,2.1161373890200236e-5,6.14800644573714,16.57940566899905,treatmentcontrol,Obama failed to nominate US judges,Misinformation effect,sig,11.4,2,panel_3_lucid,Panel 3 (Lucid),845,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-17.349124239895367,2.912834315843034,-5.956097175020466,3.787205149806112e-9,-23.066363672390764,-11.631884807399969,treatmentfactcheck,Obama failed to nominate US judges,Correction effect,sig,-17.3,2,panel_3_lucid,Panel 3 (Lucid),845,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-8.733346682496213,1.9933870441508976,4.381159548579421,1.271821654725711e-5,-12.643819440862902,-4.822873924129524,treatmentcontrol,WHO: children to be vaccinated without parents' consent,Misinformation effect,sig,-8.7,2,panel_4_mturk,Panel 4 (MTurk),1350,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-8.924385932839163,1.9062013881851565,-4.6817644705084565,3.130538421517024e-6,-12.663824604486589,-5.184947261191738,treatmentfactcheck,WHO: children to be vaccinated without parents' consent,Correction effect,sig,-8.9,2,panel_4_mturk,Panel 4 (MTurk),1350,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-0.7941601321599164,2.5340014082057483,0.3134016143748862,0.7540468282739003,-5.7672755831348566,4.1789553188150235,treatmentcontrol,WHO: children to be vaccinated without parents' consent,Misinformation effect,insig,-.8,2,panel_4_mturk,Panel 4 (MTurk),917,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-7.468635221489177,2.6527859657260957,-2.8153930690163813,0.00497617291064953,-12.674871820869452,-2.2623986221089014,treatmentfactcheck,WHO: children to be vaccinated without parents' consent,Correction effect,sig,-7.5,2,panel_4_mturk,Panel 4 (MTurk),917,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-0.22043082282817036,2.6716902285670914,0.08250613056529166,0.9342646523158964,-5.4646933145460865,5.023831668889746,treatmentcontrol,Biden and Obama plotted to have Seal Team 6 murdered,Misinformation effect,insig,-.2,2,panel_5_lucid,Panel 5 (Lucid),809,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-8.161118930307492,2.093566314515586,-3.898189836989152,1.0494224419637604e-4,-12.270581614170617,-4.0516562464443675,treatmentfactcheck,Biden and Obama plotted to have Seal Team 6 murdered,Correction effect,sig,-8.2,2,panel_5_lucid,Panel 5 (Lucid),809,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,14.590715305431235,3.171253509598809,-4.600929967051763,4.871337367386955e-6,8.365984834418366,20.815445776444104,treatmentcontrol,Biden and Obama plotted to have Seal Team 6 murdered,Misinformation effect,sig,14.6,2,panel_5_lucid,Panel 5 (Lucid),820,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-13.722622576438912,2.5562360504185357,-5.368292405621965,1.0354768640410141e-7,-18.740159139182783,-8.705086013695041,treatmentfactcheck,Biden and Obama plotted to have Seal Team 6 murdered,Correction effect,sig,-13.7,2,panel_5_lucid,Panel 5 (Lucid),820,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-3.092115468501492,3.275637544192705,0.9439736316319324,0.3457797706825605,-9.53265273861196,3.348421801608976,treatmentcontrol,Sen Coon's daughter's photo on Hunter Biden's laptop,Misinformation effect,insig,-3.1,2,panel_6_mturk,Panel 6 (MTurk),382,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-8.674490959198556,3.513914661380953,-2.468611732246656,0.01400075864018669,-15.583527149950015,-1.7654547684470954,treatmentfactcheck,Sen Coon's daughter's photo on Hunter Biden's laptop,Correction effect,sig,-8.7,2,panel_6_mturk,Panel 6 (MTurk),382,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-6.099242130367741,4.065867795545138,1.5001083254724898,0.13454826627680055,-14.097710067890796,1.8992258071553128,treatmentcontrol,Sen Coon's daughter's photo on Hunter Biden's laptop,Misinformation effect,insig,-6.1,2,panel_6_mturk,Panel 6 (MTurk),328,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-2.923790034797206,4.001495440790943,-0.7306743386465747,0.4654996860413554,-10.795623206642825,4.948043137048412,treatmentfactcheck,Sen Coon's daughter's photo on Hunter Biden's laptop,Correction effect,insig,-2.9,2,panel_6_mturk,Panel 6 (MTurk),328,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,7.780567586865185,2.5629222695729927,-3.035818791399203,0.00245724270260641,2.751606224805407,12.809528948924964,treatmentcontrol,GOP voters' pens invisible to voting machines,Misinformation effect,sig,7.8,2,panel_7_lucid,Panel 7 (Lucid),1063,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-8.279198732781522,2.710354929822607,-3.0546548135389027,0.00230932559103099,-13.597452189534646,-2.960945276028397,treatmentfactcheck,GOP voters' pens invisible to voting machines,Correction effect,sig,-8.3,2,panel_7_lucid,Panel 7 (Lucid),1063,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,17.403043091249486,3.0011060734800123,-5.798876369294513,9.847538674784383e-9,11.51145015088662,23.294636031612352,treatmentcontrol,GOP voters' pens invisible to voting machines,Misinformation effect,sig,17.4,2,panel_7_lucid,Panel 7 (Lucid),748,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-14.806630034662172,3.0639735811265356,-4.832492723131835,1.636507567450665e-6,-20.821640726733815,-8.79161934259053,treatmentfactcheck,GOP voters' pens invisible to voting machines,Correction effect,sig,-14.8,2,panel_7_lucid,Panel 7 (Lucid),748,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,2.7485078801065828,2.8087459260955803,-0.978553401562834,0.3280666052618899,-2.76402963264102,8.261045392854186,treatmentcontrol,SARS-CoV-2 man made virus created in the lab (Lucid),Misinformation effect,insig,2.7,3,panel_1_lucid,Panel 1 (Lucid),890,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-7.671200555555671,2.77370360787714,-2.7656886387463873,0.00579786741214306,-13.11496285730321,-2.227438253808131,treatmentfactcheck,SARS-CoV-2 man made virus created in the lab (Lucid),Correction effect,sig,-7.7,3,panel_1_lucid,Panel 1 (Lucid),890,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,5.719918288167929,2.9865152956195455,-1.9152482816872185,0.05580424053260917,-0.142092312872788,11.581928889208648,treatmentcontrol,SARS-CoV-2 man made virus created in the lab (Lucid),Misinformation effect,insig,5.7,3,panel_1_lucid,Panel 1 (Lucid),830,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-9.04905579481569,2.882347490455276,-3.1394742739316146,0.00175240233931929,-14.70660309407599,-3.3915084955553896,treatmentfactcheck,SARS-CoV-2 man made virus created in the lab (Lucid),Correction effect,sig,-9,3,panel_1_lucid,Panel 1 (Lucid),830,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,4.1059495342990715,2.636473296168662,-1.5573643549759677,0.11974767845121016,-1.0686420138193815,9.280541082417525,treatmentcontrol,SARS-CoV-2 man made virus created in the lab (MTurk),Misinformation effect,insig,4.1,3,panel_1_mturk,Panel 1 (MTurk),870,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-7.014567579776575,2.6511747068667235,-2.6458337738393345,0.00829607727760196,-12.218013505314348,-1.8111216542388016,treatmentfactcheck,SARS-CoV-2 man made virus created in the lab (MTurk),Correction effect,sig,-7,3,panel_1_mturk,Panel 1 (MTurk),870,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,0.6390516090585495,2.0057872854639553,-0.3186038787312043,0.7500905164499246,-3.2967734266276834,4.574876644744783,treatmentcontrol,SARS-CoV-2 man made virus created in the lab (MTurk),Misinformation effect,insig,.6,3,panel_1_mturk,Panel 1 (MTurk),1046,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-0.12523099064782947,1.941808958536688,-0.06449192135883505,0.9485908621056298,-3.935515545204024,3.6850535639083657,treatmentfactcheck,SARS-CoV-2 man made virus created in the lab (MTurk),Correction effect,insig,-.1,3,panel_1_mturk,Panel 1 (MTurk),1046,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,3.9708282813493057,2.944804085263605,-1.348418491138386,0.17784251588450398,-1.808182876394272,9.749839439092884,treatmentcontrol,Trump responsible for all Covid deaths,Misinformation effect,insig,4,3,panel_2_mturk,Panel 2 (MTurk),958,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,-15.741563176666668,2.9047313655756493,-5.419283642963335,7.572627521784437e-8,-21.441933892638005,-10.041192460695331,treatmentfactcheck,Trump responsible for all Covid deaths,Correction effect,sig,-15.7,3,panel_2_mturk,Panel 2 (MTurk),958,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-2.1471711372874336,2.643550335215771,0.8122300940080937,0.4168765625665882,-7.335482398343311,3.041140123768443,treatmentcontrol,Trump responsible for all Covid deaths,Misinformation effect,insig,-2.1,3,panel_2_mturk,Panel 2 (MTurk),891,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-0.779479839691677,2.516243722980209,-0.3097791492027928,0.7568013433880663,-5.717935321165914,4.158975641782559,treatmentfactcheck,Trump responsible for all Covid deaths,Correction effect,insig,-.8,3,panel_2_mturk,Panel 2 (MTurk),891,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,3.1009683725190653,2.753645190093976,-1.1261321479159905,0.26041486353103965,-2.3034681950314004,8.505404940069532,treatmentcontrol,Judge Barrett made homophobic and racist statements,Misinformation effect,insig,3.1,3,panel_3_lucid,Panel 3 (Lucid),885,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,-19.66256881554561,2.862791879257327,-6.868319334707113,1.2232604320424208e-11,-25.28122192786499,-14.04391570322623,treatmentfactcheck,Judge Barrett made homophobic and racist statements,Correction effect,sig,-19.7,3,panel_3_lucid,Panel 3 (Lucid),885,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-0.9468034992579832,2.574968981135984,0.36769510863788635,0.713193213676682,-6.000932328312537,4.10732532979657,treatmentcontrol,Judge Barrett made homophobic and racist statements,Misinformation effect,insig,-.9,3,panel_3_lucid,Panel 3 (Lucid),840,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-9.119118906352352,2.4546259801215338,-3.715074712075216,2.165792097135216e-4,-13.93703944114864,-4.3011983715560635,treatmentfactcheck,Judge Barrett made homophobic and racist statements,Correction effect,sig,-9.1,3,panel_3_lucid,Panel 3 (Lucid),840,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,3.0587217216418736,1.5980991338760249,-1.913974957375303,0.05583397948551498,-0.07629743080630869,6.1937408740900555,treatmentcontrol,Hunter Biden's laptop had photos torturing children,Misinformation effect,insig,3.1,3,panel_4_mturk,Panel 4 (MTurk),1354,outcome_w1
"False claim
congenial to
Republicans",Democrat,NA,-4.17371670351809,1.6524292903178424,-2.52580653706234,0.01165659392526482,-7.415316278538366,-0.9321171284978136,treatmentfactcheck,Hunter Biden's laptop had photos torturing children,Correction effect,sig,-4.2,3,panel_4_mturk,Panel 4 (MTurk),1354,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,3.678833415359505,2.545512309259732,-1.445223188266317,0.14873721256754804,-1.3168800121863595,8.67454684290537,treatmentcontrol,Hunter Biden's laptop had photos torturing children,Misinformation effect,insig,3.7,3,panel_4_mturk,Panel 4 (MTurk),916,outcome_w1
"False claim
congenial to
Republicans",Republican,NA,-4.533356957209494,2.4756998384795104,-1.831141597518432,0.06740409224003129,-9.392059419843417,0.3253455054244263,treatmentfactcheck,Hunter Biden's laptop had photos torturing children,Correction effect,insig,-4.5,3,panel_4_mturk,Panel 4 (MTurk),916,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,18.022257731532928,3.03666351255547,-5.934887964049234,4.361043926000029e-9,12.061577889709252,23.982937573356605,treatmentcontrol,Joe Biden has never made more than $400k,Misinformation effect,sig,18,3,panel_5_lucid,Panel 5 (Lucid),808,outcome_w1
