topic_short,panel_factor,wave,covariates,Average Effect of Correction versus Control
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),ratio,yes,"0.28 (0.88) [-1.44, 2.01]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w1,yes,"-0.61 (1.63) [-3.81, 2.59]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w2,yes,"0.91 (1.68) [-2.39, 4.21]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),ratio,yes,"-1.49 (6.15) [-13.55, 10.57]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w1,yes,"-8.96 (1.86)* [-12.62, -5.30]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w2,yes,"-2.86 (2.07) [-6.93, 1.20]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),ratio,yes,"0.32 (0.20) [-0.07, 0.71]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w1,yes,"-14.26 (1.85)* [-17.88, -10.63]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w2,yes,"-5.57 (2.04)* [-9.58, -1.57]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),ratio,yes,"0.39 (0.13)* [0.14, 0.64]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),w1,yes,"-8.16 (2.98)* [-14.01, -2.31]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),w2,yes,"-1.99 (3.65) [-9.17, 5.19]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),ratio,yes,"0.24 (0.43) [-0.59, 1.08]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),w1,yes,"-15.53 (2.81)* [-21.06, -10.00]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),w2,yes,"-3.06 (3.14) [-9.24, 3.12]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),ratio,yes,"0.20 (0.19) [-0.17, 0.57]"
Obama failed to nominate US judges,Panel 3 (Lucid),w1,yes,"-6.05 (3.29) [-12.50, 0.41]"
Obama failed to nominate US judges,Panel 3 (Lucid),w2,yes,"4.34 (3.43) [-2.41, 11.09]"
Obama failed to nominate US judges,Panel 3 (Lucid),ratio,yes,"-0.72 (0.79) [-2.28, 0.84]"
Biden wears wire at debate,Panel 2 (MTurk),w1,yes,"-6.35 (2.30)* [-10.86, -1.85]"
Biden wears wire at debate,Panel 2 (MTurk),w2,yes,"-4.44 (2.31) [-8.97, 0.09]"
Biden wears wire at debate,Panel 2 (MTurk),ratio,yes,"0.70 (0.29)* [0.13, 1.27]"
Trump holds Bible upside down,Panel 2 (MTurk),w1,yes,"-19.46 (2.50)* [-24.37, -14.56]"
Trump holds Bible upside down,Panel 2 (MTurk),w2,yes,"-21.10 (2.55)* [-26.10, -16.09]"
Trump holds Bible upside down,Panel 2 (MTurk),ratio,yes,"1.08 (0.12)* [0.85, 1.32]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),w1,yes,"-7.85 (2.59)* [-12.93, -2.77]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),w2,yes,"-3.94 (2.70) [-9.24, 1.36]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),ratio,yes,"0.50 (0.29) [-0.06, 1.06]"
A black man invented the light bulb,Panel 1 (MTurk),w1,yes,"1.34 (2.22) [-3.03, 5.70]"
A black man invented the light bulb,Panel 1 (MTurk),w2,yes,"4.98 (2.41)* [0.25, 9.71]"
A black man invented the light bulb,Panel 1 (MTurk),ratio,yes,"3.73 (5.37) [-6.81, 14.26]"
Antifa start West Coast wildfires,Panel 1 (MTurk),w1,yes,"-1.17 (2.22) [-5.52, 3.18]"
Antifa start West Coast wildfires,Panel 1 (MTurk),w2,yes,"-0.17 (2.34) [-4.77, 4.42]"
Antifa start West Coast wildfires,Panel 1 (MTurk),ratio,yes,"0.15 (1.82) [-3.42, 3.72]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),w1,yes,"-0.05 (2.38) [-4.72, 4.61]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),w2,yes,"0.09 (2.38) [-4.58, 4.76]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),ratio,yes,"-1.66 (106.13) [-210.06, 206.73]"
A black man invented the light bulb,Panel 1 (Lucid),w1,yes,"3.36 (4.15) [-4.81, 11.53]"
A black man invented the light bulb,Panel 1 (Lucid),w2,yes,"0.75 (4.41) [-7.92, 9.43]"
A black man invented the light bulb,Panel 1 (Lucid),ratio,yes,"0.22 (1.19) [-2.13, 2.57]"
Antifa start West Coast wildfires,Panel 1 (Lucid),w1,yes,"-2.19 (3.38) [-8.84, 4.47]"
Antifa start West Coast wildfires,Panel 1 (Lucid),w2,yes,"-0.79 (3.48) [-7.65, 6.07]"
Antifa start West Coast wildfires,Panel 1 (Lucid),ratio,yes,"0.36 (1.49) [-2.58, 3.30]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),w1,yes,"1.90 (4.46) [-6.90, 10.69]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),w2,yes,"-1.55 (4.43) [-10.27, 7.17]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),ratio,yes,"-0.82 (3.83) [-8.35, 6.72]"
Meta-analysis,Meta-analysis,w1,yes,"-6.29 (1.43)* [-9.08, -3.49]"
Meta-analysis,Meta-analysis,w2,yes,"-2.95 (1.34)* [-5.58, -0.31]"
Meta-analysis,Meta-analysis,ratio,yes,"0.49 (0.11)* [0.27, 0.71]"
