topic_short,panel_factor,lucid_pid_3,covariates,Average Effect of Misinformation versus Control,Average Effect of Correction versus Misinformation
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),Democrat,yes,"10.69 (2.09)* [6.59, 14.79]","-23.48 (2.00)* [-27.41, -19.55]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),Democrat,no,"-8.38 (2.16)* [-12.62, -4.15]","-8.76 (2.09)* [-12.86, -4.65]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),Democrat,yes,"-8.73 (1.99)* [-12.64, -4.82]","-8.92 (1.91)* [-12.66, -5.18]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),Democrat,no,"-0.20 (3.08) [-6.24, 5.84]","-8.45 (2.85)* [-14.04, -2.85]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),Democrat,yes,"0.07 (2.97) [-5.76, 5.90]","-8.00 (2.78)* [-13.44, -2.55]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),Democrat,no,"3.65 (2.91) [-2.06, 9.36]","-20.70 (2.99)* [-26.58, -14.83]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),Democrat,yes,"3.10 (2.75) [-2.30, 8.51]","-19.66 (2.86)* [-25.28, -14.04]"
Obama failed to nominate US judges,Panel 3 (Lucid),Democrat,no,"2.30 (2.84) [-3.28, 7.88]","-12.00 (2.78)* [-17.46, -6.53]"
Obama failed to nominate US judges,Panel 3 (Lucid),Democrat,yes,"2.49 (2.82) [-3.04, 8.03]","-11.80 (2.73)* [-17.16, -6.43]"
Biden wears wire at debate,Panel 2 (MTurk),Democrat,no,"0.26 (2.69) [-5.02, 5.53]","-6.84 (2.84)* [-12.42, -1.26]"
Biden wears wire at debate,Panel 2 (MTurk),Democrat,yes,"0.02 (2.41) [-4.71, 4.75]","-8.51 (2.40)* [-13.22, -3.80]"
Trump holds Bible upside down,Panel 2 (MTurk),Democrat,no,"8.88 (2.47)* [4.03, 13.73]","-28.01 (2.66)* [-33.23, -22.79]"
Trump holds Bible upside down,Panel 2 (MTurk),Democrat,yes,"8.36 (2.48)* [3.50, 13.23]","-27.71 (2.58)* [-32.77, -22.65]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),Democrat,no,"5.91 (3.10) [-0.17, 11.98]","-18.47 (3.19)* [-24.74, -12.20]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),Democrat,yes,"3.97 (2.94) [-1.81, 9.75]","-15.74 (2.90)* [-21.44, -10.04]"
A black man invented the light bulb,Panel 1 (MTurk),Democrat,no,"8.23 (3.04)* [2.26, 14.19]","-9.48 (3.04)* [-15.44, -3.51]"
A black man invented the light bulb,Panel 1 (MTurk),Democrat,yes,"7.23 (2.63)* [2.07, 12.39]","-7.62 (2.62)* [-12.76, -2.48]"
Antifa start West Coast wildfires,Panel 1 (MTurk),Democrat,no,"1.50 (3.08) [-4.55, 7.54]","-2.63 (3.15) [-8.82, 3.56]"
Antifa start West Coast wildfires,Panel 1 (MTurk),Democrat,yes,"2.08 (2.37) [-2.57, 6.72]","-3.00 (2.42) [-7.75, 1.74]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),Democrat,no,"4.32 (3.25) [-2.05, 10.70]","-10.60 (3.24)* [-16.96, -4.24]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),Democrat,yes,"4.11 (2.64) [-1.07, 9.28]","-7.01 (2.65)* [-12.22, -1.81]"
A black man invented the light bulb,Panel 1 (Lucid),Democrat,no,"13.29 (3.11)* [7.18, 19.40]","-6.56 (3.13)* [-12.70, -0.42]"
A black man invented the light bulb,Panel 1 (Lucid),Democrat,yes,"13.59 (2.83)* [8.03, 19.14]","-6.64 (2.89)* [-12.32, -0.96]"
Antifa start West Coast wildfires,Panel 1 (Lucid),Democrat,no,"6.04 (2.64)* [0.86, 11.21]","-8.69 (2.66)* [-13.90, -3.47]"
Antifa start West Coast wildfires,Panel 1 (Lucid),Democrat,yes,"4.04 (2.36) [-0.59, 8.67]","-9.30 (2.44)* [-14.10, -4.51]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),Democrat,no,"3.67 (3.07) [-2.34, 9.69]","-9.39 (3.06)* [-15.40, -3.37]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),Democrat,yes,"2.75 (2.81) [-2.76, 8.26]","-7.67 (2.77)* [-13.11, -2.23]"
Meta-analysis,Meta-analysis,Democrat,no,"5.15 (1.33)* [2.55, 7.76]","-12.79 (1.67)* [-16.06, -9.52]"
Meta-analysis,Meta-analysis,Democrat,yes,"4.66 (1.30)* [2.11, 7.20]","-12.11 (1.60)* [-15.26, -8.97]"
