term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,dv,fc,topic_short_2,lucid_pid_3
treatmentfactcheck,3.048376285377315,1.4549266581262887,2.0952095889858344,0.036470201570108364,0.1923968849815907,5.904355685773039,790,w1_ft_barack_obama,w1_ft_barack_obama,2,Biden and Obama plotted to have Seal Team 6 murdered,Democrat
treatmentcontrol,-4.1050952669354075,2.4411586681281916,1.6816175533903632,0.09346677786190614,-8.90500634188177,0.6948158080109534,379,w1_ft_joe_biden,w1_ft_joe_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Democrat
treatmentfactcheck,0.25497613879906866,2.6675564039958073,0.09558416025135692,0.9239013641055247,-4.990087893192478,5.500040170790615,379,w1_ft_joe_biden,w1_ft_joe_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Democrat
treatmentcontrol,2.539931351583359,2.439264393997375,-1.0412693916386058,0.2984435450370954,-2.2569324270160758,7.336795130182794,363,w1_ft_hunter_biden,w1_ft_hunter_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Democrat
treatmentfactcheck,3.2034977699946534,2.538282938634852,1.2620727662919915,0.2077328816689537,-1.7880880204334257,8.195083560422733,363,w1_ft_hunter_biden,w1_ft_hunter_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Democrat
treatmentcontrol,-4.168860885695597,2.676539443654787,1.5575563048691936,0.12028264406802293,-9.433802960910981,1.0960811895197855,335,w1_ft_chris_coons,w1_ft_chris_coons,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Democrat
treatmentfactcheck,0.8744359980088336,2.9504605013094314,0.29637271796072306,0.7671291073419177,-4.929328139086629,6.678200135104297,335,w1_ft_chris_coons,w1_ft_chris_coons,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Democrat
treatmentcontrol,1.3026919114781923,1.651113348360698,-0.788977881362031,0.43034162446014323,-1.937975738703301,4.543359561659686,863,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (Lucid),Democrat
treatmentfactcheck,-2.385111570259775,1.7629890686412835,-1.352879386880121,0.1764484808594389,-5.845359558710598,1.0751364181910477,863,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (Lucid),Democrat
treatmentcontrol,-2.3392727536017452,1.3125085436175545,1.7822914486744663,0.07505239783090713,-4.915346752730277,0.23680124552678627,865,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (MTurk),Democrat
treatmentfactcheck,0.021430641742285074,1.375671949394223,0.01557830829633624,0.9875744033681009,-2.678614822645594,2.721476106130164,865,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (MTurk),Democrat
treatmentcontrol,-1.6809595616723612,2.054551940781525,0.8181635753793335,0.41346724150848735,-5.712901329668556,2.3509822063238333,958,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump responsible for all Covid deaths,Democrat
treatmentfactcheck,1.699823501327041,2.108595952795372,0.8061399810018509,0.4203622011185175,-2.438176577984384,5.8378235806384655,958,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump responsible for all Covid deaths,Democrat
treatmentcontrol,-7.844128757561898,2.195775297698434,3.572373168504059,3.7416401494925463e-4,-12.154061730485992,-3.534195784637805,829,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,3,Judge Barrett made homophobic and racist statements,Democrat
treatmentfactcheck,5.567701404000584,2.328048134190697,2.391574865755983,0.01699824832823437,0.9981393788607402,10.137263429140427,829,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,3,Judge Barrett made homophobic and racist statements,Democrat
treatmentcontrol,-1.238711915944832,1.3893026444215453,0.8916069662133166,0.3727668701266734,-3.964205556550022,1.4867817246603579,1314,w1_ft_hunter_biden,w1_ft_hunter_biden,3,Hunter Biden's laptop had photos torturing children,Democrat
treatmentfactcheck,3.315780319972941,1.3597668920306671,2.438491729285434,0.014880412333608331,0.6482290619256892,5.983331578020193,1314,w1_ft_hunter_biden,w1_ft_hunter_biden,3,Hunter Biden's laptop had photos torturing children,Democrat
treatmentcontrol,-1.5915217447880052,1.4311213275209862,1.1120802367922693,0.2663023861051235,-4.398994408102807,1.2159509185267967,1345,w1_ft_joe_biden,w1_ft_joe_biden,3,Hunter Biden's laptop had photos torturing children,Democrat
treatmentfactcheck,2.409209544878087,1.4034381688236042,1.7166481562187699,0.08627371757849539,-0.34395625445353817,5.162375344209712,1345,w1_ft_joe_biden,w1_ft_joe_biden,3,Hunter Biden's laptop had photos torturing children,Democrat
treatmentcontrol,-3.0609167505512045,3.019822163838806,1.0136082803830273,0.3114129551192317,-8.99852101076265,2.876687509660241,381,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump said 'Good' to children's separation,Democrat
treatmentfactcheck,-1.0392802339807732,2.9960752507234,-0.3468805510575343,0.7288725695643501,-6.930193078330277,4.851632610368731,381,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump said 'Good' to children's separation,Democrat
treatmentcontrol,-4.266934044062499,1.9631981019255564,2.17346076276122,0.02997468887254215,-8.119293912900766,-0.4145741752242338,1022,w1_ft_the_u.s._postal_service,w1_ft_the_u.s._postal_service,3,USPS fails to deliver 27% of mail ballots in South FL,Democrat
treatmentfactcheck,3.680595073228815,1.9871010816136754,1.8522435055190525,0.06427906398804378,-0.21866932328082944,7.579859469738459,1022,w1_ft_the_u.s._postal_service,w1_ft_the_u.s._postal_service,3,USPS fails to deliver 27% of mail ballots in South FL,Democrat
treatmentcontrol,3.478381583087149,2.134808325809715,-1.629364819798437,0.10359087007997794,-0.7114830359000877,7.668246202074386,887,w1_ft_joe_biden,w1_ft_joe_biden,1,Biden wears wire at debate,Republican
treatmentfactcheck,0.9117508026995929,2.131748390709717,0.42770094569934036,0.6689726765819943,-3.272108258947026,5.095609864346211,887,w1_ft_joe_biden,w1_ft_joe_biden,1,Biden wears wire at debate,Republican
treatmentcontrol,-1.434986203092556,1.99075185508394,0.7208262543761638,0.4711997368829328,-5.3419336510291915,2.4719612448440795,919,w1_ft_donald_trump,w1_ft_donald_trump,1,Trump chose Judge Barrett on basis of looks,Republican
treatmentfactcheck,2.1274405167664154,1.9352840774296884,1.0992910764769666,0.2719290148998233,-1.670648716724474,5.925529750257304,919,w1_ft_donald_trump,w1_ft_donald_trump,1,Trump chose Judge Barrett on basis of looks,Republican
treatmentcontrol,-3.7083876444059722,1.666151550318135,2.2257204896504716,0.02627884490475,-6.978362740766363,-0.4384125480455814,904,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,1,Trump chose Judge Barrett on basis of looks,Republican
treatmentfactcheck,4.173858395663766,1.6418021889933518,2.542241948296408,0.011180237413652701,0.9516711521725325,7.396045639154999,904,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,1,Trump chose Judge Barrett on basis of looks,Republican
treatmentcontrol,-0.3577338522156661,2.4299040506833376,0.14722139012652133,0.8829945107864625,-5.1275016984308195,4.412033993999486,797,w1_ft_kamala_harris,w1_ft_kamala_harris,1,Kamala Harris imprisoned prolife activists,Republican
treatmentfactcheck,0.08239869310465794,2.394322681560659,0.03441419727559408,0.9725554792284059,-4.617524884848981,4.782322271058296,797,w1_ft_kamala_harris,w1_ft_kamala_harris,1,Kamala Harris imprisoned prolife activists,Republican
treatmentcontrol,-2.3720170754837224,2.236585183317626,1.0605529774480598,0.2892123798544905,-6.762269002903768,2.0182348519363225,802,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (Lucid),Republican
treatmentfactcheck,-0.8385349750542813,2.136522924104821,-0.3924764698724766,0.6948104769259323,-5.032372060040563,3.355302109932001,802,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (Lucid),Republican
treatmentcontrol,1.862475678745593,1.7006300924470092,-1.0951680127368009,0.2736961069633349,-1.474574220844326,5.199525578335512,1042,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (MTurk),Republican
treatmentfactcheck,-3.426219090101226,1.6275888697720462,-2.1050887934500864,0.035522493856959485,-6.619944344387067,-0.23249383581538607,1042,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (MTurk),Republican
treatmentcontrol,-1.499365810328465,1.9880076676499372,0.7542052451441974,0.450925038818351,-5.401083399453986,2.4023517787970565,892,w1_ft_donald_trump,w1_ft_donald_trump,2,Trump holds Bible upside down,Republican
treatmentfactcheck,3.859066240384497,1.8969240424023628,2.0343810053127775,0.04220856404562524,0.13611183637781554,7.582020644391179,892,w1_ft_donald_trump,w1_ft_donald_trump,2,Trump holds Bible upside down,Republican
treatmentcontrol,3.297017527626304,2.2934465501940595,-1.4375820214111061,0.15093185714288748,-1.2046593927383826,7.79869444799099,825,w1_ft_joe_biden,w1_ft_joe_biden,2,Obama failed to nominate US judges,Republican
treatmentfactcheck,1.699811168987231,2.5124459557130483,0.67655631163808,0.4988771396516637,-3.23172733647304,6.631349674447502,825,w1_ft_joe_biden,w1_ft_joe_biden,2,Obama failed to nominate US judges,Republican
treatmentcontrol,-0.9355703433583531,2.2739778868084297,0.41142455640650205,0.680857703305513,-5.398394864073913,3.527254177357206,914,w1_ft_the_world_health_organization_(who),w1_ft_the_world_health_organization_(who),2,WHO: children to be vaccinated without parents' consent,Republican
treatmentfactcheck,0.7931605337216634,2.289580539197172,0.34642176597106317,0.7291055022391133,-3.7002851729221415,5.286606240365469,914,w1_ft_the_world_health_organization_(who),w1_ft_the_world_health_organization_(who),2,WHO: children to be vaccinated without parents' consent,Republican
treatmentcontrol,-1.5463638135167193,2.718639190939015,0.5688006774384088,0.5696500632705999,-6.882822183520576,3.790094556487137,805,w1_ft_joe_biden,w1_ft_joe_biden,2,Biden and Obama plotted to have Seal Team 6 murdered,Republican
treatmentfactcheck,1.4890793208378366,2.1836308776556104,0.6819281299211806,0.49548054729462343,-2.7972030637103193,5.7753617053859925,805,w1_ft_joe_biden,w1_ft_joe_biden,2,Biden and Obama plotted to have Seal Team 6 murdered,Republican
treatmentcontrol,-0.6641596123036123,2.9575841575711426,0.22456152620490105,0.8223771721675392,-6.469614248828586,5.141295024221362,808,w1_ft_barack_obama,w1_ft_barack_obama,2,Biden and Obama plotted to have Seal Team 6 murdered,Republican
treatmentfactcheck,1.0734099696471897,2.35083793283792,0.45660738864774675,0.6480759836224181,-3.5410598982603316,5.6878798375547115,808,w1_ft_barack_obama,w1_ft_barack_obama,2,Biden and Obama plotted to have Seal Team 6 murdered,Republican
treatmentcontrol,7.1365172756214275,3.6906387186449447,-1.93368081236672,0.05401253999607143,-0.1237914566020919,14.396826007844947,328,w1_ft_joe_biden,w1_ft_joe_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Republican
treatmentfactcheck,6.392834372595156,3.57220557840837,1.7896042745231768,0.07443998289804868,-0.6344899827235535,13.420158727913865,328,w1_ft_joe_biden,w1_ft_joe_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Republican
treatmentcontrol,4.467179881685954,3.3762145193667874,-1.3231327144827807,0.18672711991362015,-2.174967160250639,11.109326923622547,323,w1_ft_hunter_biden,w1_ft_hunter_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Republican
treatmentfactcheck,7.275397151318447,3.1437130252255274,2.314268857538775,0.021279979531603283,1.090658577563504,13.46013572507339,323,w1_ft_hunter_biden,w1_ft_hunter_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Republican
treatmentcontrol,1.3853279974174963,3.3151132247697124,-0.4178825589022618,0.6763241634933503,-5.137807049813538,7.9084630446485304,308,w1_ft_chris_coons,w1_ft_chris_coons,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Republican
treatmentfactcheck,5.252753057180771,3.104789017588341,1.691822867004622,0.09169115805517407,-0.8565278879053233,11.362034002266864,308,w1_ft_chris_coons,w1_ft_chris_coons,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Republican
treatmentcontrol,-2.2910916743970176,2.0300248182794,1.1286027903535147,0.259402917856034,-6.275880824230168,1.6936974754361325,802,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (Lucid),Republican
treatmentfactcheck,-1.9803341900040212,2.028999363244988,-0.9760151855527759,0.3293512375565487,-5.963110447158239,2.002442067150196,802,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (Lucid),Republican
treatmentcontrol,-1.5700175037716617,1.3304814809902865,1.180037096497643,0.23825452419443321,-4.180742882598464,1.0407078750551406,1043,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (MTurk),Republican
treatmentfactcheck,0.5582190668115171,1.407956290654837,0.3964747133960322,0.6918359590572927,-2.2045305639127797,3.3209686975358137,1043,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (MTurk),Republican
treatmentcontrol,0.5007432103448166,1.9861152163992242,-0.25212193442264197,0.8010048958000493,-3.3972602027985777,4.398746623488211,892,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump responsible for all Covid deaths,Republican
treatmentfactcheck,-0.4252950074467966,1.9672612291193934,-0.21618634127058547,0.828891927454068,-4.286295075486485,3.4357050605928916,892,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump responsible for all Covid deaths,Republican
treatmentcontrol,2.4705315108989434,2.053222016296165,-1.203246162027606,0.2292300487033955,-1.5596875234369088,6.500750545234796,816,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,3,Judge Barrett made homophobic and racist statements,Republican
treatmentfactcheck,2.194719872477959,2.053949575913443,1.068536393597643,0.28559461878650755,-1.8369272707496225,6.22636701570554,816,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,3,Judge Barrett made homophobic and racist statements,Republican
treatmentcontrol,7.228259134196494,2.2235176153472036,-3.250821618999316,0.0011930277339550117,2.8644342403854584,11.59208402800753,909,w1_ft_hunter_biden,w1_ft_hunter_biden,3,Hunter Biden's laptop had photos torturing children,Republican
treatmentfactcheck,-3.866778844892459,2.161696742033791,-1.7887702607417886,0.07398472604915657,-8.109275504530688,0.3757178147457694,909,w1_ft_hunter_biden,w1_ft_hunter_biden,3,Hunter Biden's laptop had photos torturing children,Republican
treatmentcontrol,7.611253439948928,2.286469528594772,-3.3288234742523266,9.068384053837939e-4,3.1239392127655234,12.098567667132333,918,w1_ft_joe_biden,w1_ft_joe_biden,3,Hunter Biden's laptop had photos torturing children,Republican
treatmentfactcheck,-4.786597756444947,2.2603421109229664,-2.1176430476227486,0.03447360675893969,-9.222635580609627,-0.35055993228026683,918,w1_ft_joe_biden,w1_ft_joe_biden,3,Hunter Biden's laptop had photos torturing children,Republican
treatmentcontrol,0.25620917247401787,3.048741493921896,-0.08403768341291239,0.9330775817171426,-5.741277177747545,6.2536955226955815,329,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump said 'Good' to children's separation,Republican
treatmentfactcheck,1.9062298844869752,3.2196411878489894,0.5920628334862708,0.5542151598190952,-4.427450460413445,8.239910229387394,329,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump said 'Good' to children's separation,Republican
treatmentcontrol,2.866413172465652,2.4327757222709567,-1.1782480177785981,0.23908593283655066,-1.9097461716185586,7.642572516549863,722,w1_ft_the_u.s._postal_service,w1_ft_the_u.s._postal_service,3,USPS fails to deliver 27% of mail ballots in South FL,Republican
treatmentfactcheck,-2.5562731388653632,2.434470283951897,-1.0500325905460397,0.2940544637522754,-7.3357593398120695,2.2232130620813426,722,w1_ft_the_u.s._postal_service,w1_ft_the_u.s._postal_service,3,USPS fails to deliver 27% of mail ballots in South FL,Republican
treatmentcontrol,6.460309118890756,6.934355369093196,-0.9316380218534386,0.3537022248948054,-7.292349251749088,20.2129674895306,103,w1_ft_joe_biden,w1_ft_joe_biden,1,Biden wears wire at debate,Independent
treatmentfactcheck,-6.909852432663624,6.987106925308398,-0.9889432788891571,0.3250084022520804,-20.76713107332608,6.947426207998832,103,w1_ft_joe_biden,w1_ft_joe_biden,1,Biden wears wire at debate,Independent
treatmentcontrol,-4.640426949098124,5.5755069880769526,0.8322878904145457,0.4063372132298202,-15.641371010347804,6.360517112151555,182,w1_ft_donald_trump,w1_ft_donald_trump,1,Trump chose Judge Barrett on basis of looks,Independent
treatmentfactcheck,6.765931242309334,4.824392618686734,1.4024420848548418,0.16248668421846485,-2.7530010164383114,16.28486350105698,182,w1_ft_donald_trump,w1_ft_donald_trump,1,Trump chose Judge Barrett on basis of looks,Independent
treatmentcontrol,-9.965033974482436,5.262504831074365,1.8935914159432758,0.059901517442239836,-20.34996043402043,0.419892485055561,178,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,1,Trump chose Judge Barrett on basis of looks,Independent
treatmentfactcheck,6.034460554702457,4.68811436289622,1.2871828815572006,0.19970180282078023,-3.21697473236818,15.285895841773094,178,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,1,Trump chose Judge Barrett on basis of looks,Independent
treatmentcontrol,2.2782337098198706,5.325128072542123,-0.4278270266525781,0.669230573538024,-8.22142168129328,12.777889100933022,203,w1_ft_kamala_harris,w1_ft_kamala_harris,1,Kamala Harris imprisoned prolife activists,Independent
treatmentfactcheck,-0.7198334551322205,5.229047601864564,-0.13766052825289707,0.8906451615873565,-11.03004517124119,9.590378260976747,203,w1_ft_kamala_harris,w1_ft_kamala_harris,1,Kamala Harris imprisoned prolife activists,Independent
treatmentcontrol,-7.08951257651565,3.7168773526110397,1.9073840495531538,0.057626118461947574,-14.410183717732565,0.23115856470126506,248,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (Lucid),Independent
treatmentfactcheck,-1.3795572363636857,3.8610215579399503,-0.3573036865144439,0.7211683353943894,-8.984131295007703,6.225016822280333,248,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (Lucid),Independent
treatmentcontrol,3.0576059866788174,7.531172102261974,-0.40599337595279106,0.6861453110438505,-11.996992535619256,18.11220450897689,62,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (MTurk),Independent
treatmentfactcheck,5.312695561893172,6.512145947789934,0.8158133439402065,0.4177301457379824,-7.70489870250324,18.330289826289583,62,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (MTurk),Independent
treatmentcontrol,2.477660377251496,6.564362736141229,-0.3774411129979625,0.7066224251486228,-10.541204870624387,15.49652562512738,103,w1_ft_donald_trump,w1_ft_donald_trump,2,Trump holds Bible upside down,Independent
treatmentfactcheck,2.7844262170638463,6.913942682720835,0.4027262511190062,0.6879842664235871,-10.92774840459519,16.496600838722884,103,w1_ft_donald_trump,w1_ft_donald_trump,2,Trump holds Bible upside down,Independent
treatmentcontrol,-3.6195662535761577,4.598757341789315,0.7870748518702735,0.43194405443982686,-12.674475757245084,5.435343250092767,264,w1_ft_joe_biden,w1_ft_joe_biden,2,Obama failed to nominate US judges,Independent
treatmentfactcheck,2.659675432351628,4.611206773518233,0.5767851156937739,0.5645760998788094,-6.419746884083711,11.739097748786968,264,w1_ft_joe_biden,w1_ft_joe_biden,2,Obama failed to nominate US judges,Independent
treatmentcontrol,-5.334190858674931,4.791553824775688,1.113248656645247,0.2670697961701297,-14.788329416037776,4.1199476986879136,182,w1_ft_the_world_health_organization_(who),w1_ft_the_world_health_organization_(who),2,WHO: children to be vaccinated without parents' consent,Independent
treatmentfactcheck,3.4463809314875893,4.826807298229088,0.7140083948973963,0.47613666966658796,-6.077315693016942,12.97007755599212,182,w1_ft_the_world_health_organization_(who),w1_ft_the_world_health_organization_(who),2,WHO: children to be vaccinated without parents' consent,Independent
treatmentcontrol,-4.774278734193844,5.573912931447055,0.8565398837248045,0.3926944951845719,-15.763508209965957,6.214950741578269,206,w1_ft_joe_biden,w1_ft_joe_biden,2,Biden and Obama plotted to have Seal Team 6 murdered,Independent
treatmentfactcheck,9.03935527884715,5.7349897189427494,1.5761763702888667,0.11651960308722709,-2.2674446008370364,20.34615515853134,206,w1_ft_joe_biden,w1_ft_joe_biden,2,Biden and Obama plotted to have Seal Team 6 murdered,Independent
treatmentcontrol,0.30741796868720667,5.567300644358459,-0.05521849605853854,0.9560163969665425,-10.666939775440241,11.281775712814653,212,w1_ft_barack_obama,w1_ft_barack_obama,2,Biden and Obama plotted to have Seal Team 6 murdered,Independent
treatmentfactcheck,10.54450445567505,5.5798931352358725,1.889732330013398,0.06015833640883583,-0.4546758207003059,21.543684732050405,212,w1_ft_barack_obama,w1_ft_barack_obama,2,Biden and Obama plotted to have Seal Team 6 murdered,Independent
treatmentcontrol,-13.286902375007378,10.448926157596011,1.2716045816199262,0.21104483343752123,-34.42185043811143,7.84804568809667,39,w1_ft_joe_biden,w1_ft_joe_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Independent
treatmentfactcheck,-2.338977500169387,10.782984118743398,-0.216913748032299,0.82940631675541,-24.14962156805225,19.471666567713473,39,w1_ft_joe_biden,w1_ft_joe_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Independent
treatmentcontrol,-17.271861191466865,9.288381307485308,1.8595125048912282,0.07070985227504462,-36.07520610252915,1.5314837195954176,38,w1_ft_hunter_biden,w1_ft_hunter_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Independent
treatmentfactcheck,0.566390818499054,10.995169834216291,0.051512693940977676,0.9591868262967638,-21.69216682510934,22.82494846210745,38,w1_ft_hunter_biden,w1_ft_hunter_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Independent
treatmentcontrol,-2.443627281584978,8.282092570940161,0.29504950115615336,0.7697502988453206,-19.274864434539182,14.387609871369227,34,w1_ft_chris_coons,w1_ft_chris_coons,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Independent
treatmentfactcheck,-8.565052789851247,10.871117327995085,-0.7878723530832192,0.4362300253273572,-30.657821289817964,13.52771571011547,34,w1_ft_chris_coons,w1_ft_chris_coons,2,Sen Coon's daughter's photo on Hunter Biden's laptop,Independent
treatmentcontrol,-5.398375261826941,3.74373744165448,1.4419748569336697,0.15053169424224302,-12.77081965540349,1.974069131749606,256,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (Lucid),Independent
treatmentfactcheck,0.7081960531018524,3.5301375002410533,0.20061429705032557,0.8411594645780864,-6.243611553017249,7.660003659220955,256,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (Lucid),Independent
treatmentcontrol,1.3812068651998142,7.8601708242551185,-0.1757222452389521,0.8610757571191499,-14.326091164047861,17.08850489444749,63,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (MTurk),Independent
